ins_id,age,agency,agency_type,commision,destination,distribution_channel,duration,gender,net_sales,product_name,claim
3923,25.0,C2B,Airlines,38.5,SINGAPORE,Online,33.0,F,154.0,Bronze Plan,0.0
8930,29.0,C2B,Airlines,5.75,SINGAPORE,Online,58.0,M,23.0,Bronze Plan,0.0
44757,25.0,C2B,Airlines,64.8,SINGAPORE,Online,366.0,F,259.2,Annual Silver Plan,1.0
58960,41.0,C2B,Airlines,15.0,SINGAPORE,Online,59.0,M,60.0,Bronze Plan,1.0
37704,48.0,KML,Travel Agency,41.42,NETHERLANDS,Online,56.0,F,109.0,Value Plan,0.0
28595,62.0,C2B,Airlines,63.21,SINGAPORE,Online,365.0,M,252.85,Annual Silver Plan,1.0
29828,23.0,C2B,Airlines,4.25,SINGAPORE,Online,13.0,M,17.0,Bronze Plan,0.0
55715,16.0,C2B,Airlines,15.0,SINGAPORE,Online,15.0,M,60.0,Bronze Plan,1.0
25144,34.0,C2B,Airlines,7.64,SINGAPORE,Online,39.0,F,30.55,Bronze Plan,1.0
56061,44.0,LWC,Travel Agency,49.73,FRANCE,Online,31.0,M,76.5,Single Trip Travel Protect Gold,1.0
56671,43.0,C2B,Airlines,5.0,SINGAPORE,Online,16.0,M,20.0,Bronze Plan,0.0
37463,27.0,C2B,Airlines,5.75,SINGAPORE,Online,31.0,F,23.0,Bronze Plan,0.0
38311,45.0,C2B,Airlines,10.38,SINGAPORE,Online,13.0,M,41.5,Silver Plan,0.0
46927,36.0,C2B,Airlines,6.75,SINGAPORE,Online,8.0,F,27.0,Bronze Plan,0.0
33758,39.0,TTW,Travel Agency,0.0,SINGAPORE,Offline,364.0,F,97.0,Individual Comprehensive Plan,0.0
48210,26.0,C2B,Airlines,4.8,SINGAPORE,Online,7.0,F,19.2,Bronze Plan,1.0
50074,46.0,C2B,Airlines,40.25,SINGAPORE,Online,365.0,M,161.0,Annual Silver Plan,0.0
22870,32.0,C2B,Airlines,4.39,SINGAPORE,Online,5.0,F,17.55,Bronze Plan,1.0
20724,48.0,KML,Travel Agency,12.54,INDONESIA,Online,7.0,M,33.0,Value Plan,0.0
55673,118.0,JWT,Airlines,12.4,INDIA,Online,1.0,M,31.0,Value Plan,0.0
2543,41.0,C2B,Airlines,97.25,SINGAPORE,Online,368.0,F,389.0,Annual Silver Plan,1.0
31024,55.0,C2B,Airlines,4.5,SINGAPORE,Online,16.0,M,18.0,Bronze Plan,0.0
57355,36.0,C2B,Airlines,54.0,SINGAPORE,Online,369.0,F,216.0,Annual Silver Plan,1.0
4763,45.0,C2B,Airlines,63.21,SINGAPORE,Online,366.0,M,252.85,Annual Silver Plan,1.0
15745,27.0,C2B,Airlines,29.44,SINGAPORE,Online,112.0,M,117.75,Silver Plan,0.0
26051,57.0,C2B,Airlines,63.21,SINGAPORE,Online,365.0,F,252.85,Annual Silver Plan,1.0
13568,42.0,JZI,Airlines,10.5,THAILAND,Online,8.0,F,30.0,Basic Plan,0.0
55336,57.0,JZI,Airlines,7.7,CHINA,Online,8.0,M,22.0,Basic Plan,0.0
61867,39.0,C2B,Airlines,54.0,SINGAPORE,Online,365.0,M,216.0,Annual Silver Plan,1.0
52959,50.0,C2B,Airlines,20.38,SINGAPORE,Online,56.0,F,81.5,Silver Plan,1.0
56061,44.0,LWC,Travel Agency,49.73,FRANCE,Online,31.0,M,76.5,Single Trip Travel Protect Gold,1.0
55886,45.0,JZI,Airlines,12.95,PHILIPPINES,Online,57.0,F,37.0,Basic Plan,0.0
40034,30.0,LWC,Travel Agency,16.25,VIET NAM,Online,5.0,M,25.0,Single Trip Travel Protect Gold,1.0
15300,36.0,C2B,Airlines,6.47,SINGAPORE,Online,4.0,F,25.9,Silver Plan,0.0
12085,26.0,C2B,Airlines,12.94,SINGAPORE,Online,37.0,F,51.75,Bronze Plan,0.0
52625,41.0,C2B,Airlines,22.0,SINGAPORE,Online,55.0,F,88.0,Gold Plan,0.0
9949,47.0,C2B,Airlines,72.94,SINGAPORE,Online,386.0,M,291.75,Annual Silver Plan,0.0
34749,26.0,C2B,Airlines,3.38,SINGAPORE,Online,6.0,F,13.5,Bronze Plan,1.0
56805,44.0,LWC,Travel Agency,149.37,UNITED STATES,Online,366.0,M,229.8,Annual Travel Protect Silver,1.0
18801,45.0,C2B,Airlines,97.34,SINGAPORE,Online,365.0,M,389.35,Annual Gold Plan,0.0
28281,55.0,JZI,Airlines,6.3,THAILAND,Online,12.0,F,18.0,Basic Plan,0.0
58941,66.0,TST,Travel Agency,10.5,THAILAND,Offline,10.0,M,30.0,Travel Cruise Protect,0.0
62543,40.0,JZI,Airlines,12.25,JAPAN,Online,65.0,M,35.0,Basic Plan,0.0
62569,26.0,C2B,Airlines,4.0,SINGAPORE,Online,4.0,M,16.0,Bronze Plan,1.0
14330,36.0,RAB,Airlines,6.0,BRUNEI DARUSSALAM,Online,4.0,M,15.0,Value Plan,0.0
53095,48.0,KML,Travel Agency,10.64,INDONESIA,Online,14.0,M,28.0,Value Plan,0.0
62233,31.0,C2B,Airlines,5.63,SINGAPORE,Online,6.0,M,22.5,Silver Plan,0.0
46243,59.0,JZI,Airlines,7.7,THAILAND,Online,7.0,M,22.0,Basic Plan,0.0
38065,64.0,RAB,Airlines,6.0,BRUNEI DARUSSALAM,Online,31.0,M,15.0,Value Plan,0.0
18289,118.0,JWT,Airlines,49.6,INDIA,Online,1.0,M,124.0,Value Plan,0.0
62981,41.0,C2B,Airlines,64.8,SINGAPORE,Online,365.0,F,259.2,Annual Silver Plan,1.0
45325,29.0,C2B,Airlines,5.0,SINGAPORE,Online,11.0,F,20.0,Bronze Plan,1.0
26050,34.0,C2B,Airlines,27.25,SINGAPORE,Online,16.0,M,109.0,Silver Plan,0.0
62236,25.0,C2B,Airlines,7.25,SINGAPORE,Online,6.0,F,29.0,Silver Plan,0.0
33025,58.0,C2B,Airlines,3.38,SINGAPORE,Online,18.0,F,13.5,Bronze Plan,0.0
53368,33.0,C2B,Airlines,54.0,SINGAPORE,Online,401.0,F,216.0,Annual Silver Plan,0.0
50481,118.0,JWT,Airlines,24.0,INDIA,Online,19.0,F,0.0,Value Plan,0.0
23536,45.0,JZI,Airlines,11.55,MALAYSIA,Online,15.0,M,33.0,Basic Plan,0.0
29642,33.0,C2B,Airlines,63.21,SINGAPORE,Online,373.0,M,252.85,Annual Silver Plan,0.0
61638,31.0,C2B,Airlines,4.0,SINGAPORE,Online,8.0,M,16.0,Bronze Plan,0.0
47372,77.0,JZI,Airlines,11.55,MYANMAR,Online,91.0,M,33.0,Basic Plan,0.0
29433,55.0,C2B,Airlines,15.88,SINGAPORE,Online,26.0,F,63.5,Silver Plan,0.0
54992,39.0,C2B,Airlines,40.25,SINGAPORE,Online,366.0,M,161.0,Annual Silver Plan,1.0
28767,52.0,C2B,Airlines,3.75,SINGAPORE,Online,24.0,F,15.0,Silver Plan,0.0
24164,53.0,C2B,Airlines,15.93,SINGAPORE,Online,13.0,F,63.7,Gold Plan,0.0
35209,32.0,C2B,Airlines,28.25,SINGAPORE,Online,52.0,M,113.0,Bronze Plan,0.0
7233,118.0,JWT,Airlines,28.8,INDIA,Online,16.0,F,72.0,Value Plan,0.0
46704,58.0,JZI,Airlines,12.25,AUSTRALIA,Online,150.0,M,35.0,Basic Plan,0.0
56506,50.0,C2B,Airlines,8.38,SINGAPORE,Online,6.0,M,33.5,Gold Plan,1.0
39699,74.0,C2B,Airlines,6.25,SINGAPORE,Online,9.0,F,25.0,Silver Plan,0.0
41232,48.0,ART,Airlines,4.65,PHILIPPINES,Online,5.0,M,13.28,24 Protect,0.0
61634,30.0,C2B,Airlines,8.38,SINGAPORE,Online,12.0,F,33.5,Bronze Plan,0.0
48226,24.0,C2B,Airlines,9.75,SINGAPORE,Online,11.0,F,39.0,Silver Plan,1.0
29220,36.0,C2B,Airlines,2.88,SINGAPORE,Online,6.0,F,11.5,Bronze Plan,0.0
14779,44.0,JZI,Airlines,6.3,THAILAND,Online,14.0,F,18.0,Basic Plan,1.0
41260,35.0,C2B,Airlines,70.2,SINGAPORE,Online,396.0,F,280.8,Annual Silver Plan,0.0
34552,43.0,JZI,Airlines,12.95,INDONESIA,Online,57.0,F,37.0,Basic Plan,0.0
52635,44.0,C2B,Airlines,40.25,SINGAPORE,Online,367.0,F,161.0,Annual Silver Plan,0.0
36431,51.0,C2B,Airlines,63.21,SINGAPORE,Online,365.0,M,252.85,Annual Silver Plan,1.0
16361,27.0,C2B,Airlines,97.25,SINGAPORE,Online,364.0,M,-389.0,Annual Silver Plan,0.0
60592,56.0,TST,Travel Agency,10.5,MALAYSIA,Offline,16.0,M,30.0,Travel Cruise Protect,0.0
20090,64.0,CBH,Travel Agency,9.57,THAILAND,Offline,245.0,F,29.0,Comprehensive Plan,0.0
6693,49.0,JZI,Airlines,9.1,JAPAN,Online,26.0,M,26.0,Basic Plan,0.0
56066,39.0,LWC,Travel Agency,43.55,UNITED STATES,Online,12.0,F,67.0,Single Trip Travel Protect Platinum,1.0
48460,26.0,C2B,Airlines,64.8,SINGAPORE,Online,365.0,F,259.2,Annual Silver Plan,1.0
24973,31.0,C2B,Airlines,63.21,SINGAPORE,Online,364.0,F,252.85,Annual Silver Plan,1.0
51490,34.0,C2B,Airlines,5.63,SINGAPORE,Online,5.0,F,22.5,Silver Plan,1.0
49158,22.0,JZI,Airlines,19.6,HONG KONG,Online,84.0,F,56.0,Basic Plan,0.0
10726,44.0,JZI,Airlines,9.1,CHINA,Online,25.0,F,26.0,Basic Plan,0.0
36270,23.0,C2B,Airlines,3.38,SINGAPORE,Online,4.0,M,13.5,Bronze Plan,0.0
40210,45.0,JZI,Airlines,15.75,CHINA,Online,8.0,M,45.0,Value Plan,1.0
3193,43.0,C2B,Airlines,5.75,SINGAPORE,Online,65.0,M,23.0,Bronze Plan,0.0
56438,54.0,LWC,Travel Agency,27.3,HONG KONG,Online,5.0,F,42.0,Single Trip Travel Protect Platinum,0.0
9686,51.0,C2B,Airlines,5.63,SINGAPORE,Online,1.0,F,22.5,Silver Plan,0.0
32172,38.0,JZI,Airlines,11.55,PHILIPPINES,Online,31.0,F,33.0,Basic Plan,0.0
53337,49.0,C2B,Airlines,5.25,SINGAPORE,Online,11.0,F,21.0,Bronze Plan,0.0
55924,27.0,C2B,Airlines,54.0,SINGAPORE,Online,383.0,F,216.0,Annual Silver Plan,1.0
26897,28.0,JZI,Airlines,33.6,UNITED STATES,Online,15.0,F,96.0,Value Plan,0.0
33439,21.0,C2B,Airlines,4.63,SINGAPORE,Online,18.0,M,18.5,Silver Plan,0.0
19633,54.0,JZI,Airlines,15.4,CHINA,Online,46.0,F,44.0,Basic Plan,0.0
47160,20.0,TST,Travel Agency,10.5,THAILAND,Offline,62.0,F,30.0,Travel Cruise Protect,0.0
53919,25.0,RAB,Airlines,6.0,BRUNEI DARUSSALAM,Online,7.0,F,15.0,Value Plan,0.0
49175,45.0,C2B,Airlines,4.0,SINGAPORE,Online,6.0,F,16.0,Bronze Plan,0.0
43344,24.0,JZI,Airlines,7.7,THAILAND,Online,13.0,M,22.0,Basic Plan,0.0
35050,70.0,JZI,Airlines,10.5,MYANMAR,Online,39.0,F,30.0,Basic Plan,0.0
60574,50.0,JZI,Airlines,9.1,CHINA,Online,43.0,M,26.0,Basic Plan,0.0
601,27.0,C2B,Airlines,18.56,SINGAPORE,Online,16.0,M,74.25,Silver Plan,1.0
28092,23.0,C2B,Airlines,13.38,SINGAPORE,Online,32.0,M,53.5,Bronze Plan,1.0
53334,59.0,C2B,Airlines,4.0,SINGAPORE,Online,3.0,F,16.0,Bronze Plan,0.0
57337,35.0,C2B,Airlines,11.7,SINGAPORE,Online,19.0,F,46.8,Silver Plan,1.0
39473,26.0,C2B,Airlines,11.75,SINGAPORE,Online,40.0,F,47.0,Bronze Plan,0.0
53581,29.0,C2B,Airlines,4.0,SINGAPORE,Online,5.0,M,16.0,Bronze Plan,0.0
21721,23.0,C2B,Airlines,44.69,SINGAPORE,Online,62.0,F,178.75,Gold Plan,1.0
60031,45.0,C2B,Airlines,6.63,SINGAPORE,Online,29.0,F,26.5,Bronze Plan,1.0
41971,41.0,JZI,Airlines,6.3,MALAYSIA,Online,2.0,M,18.0,Basic Plan,0.0
43217,33.0,C2B,Airlines,9.75,SINGAPORE,Online,23.0,F,39.0,Silver Plan,0.0
47586,46.0,C2B,Airlines,63.38,SINGAPORE,Online,93.0,F,253.5,Silver Plan,1.0
31157,84.0,RAB,Airlines,6.0,BRUNEI DARUSSALAM,Online,3.0,F,15.0,Value Plan,0.0
30489,50.0,C2B,Airlines,63.21,SINGAPORE,Online,364.0,F,252.85,Annual Silver Plan,1.0
20344,32.0,C2B,Airlines,20.64,SINGAPORE,Online,24.0,F,82.55,Silver Plan,1.0
49361,42.0,JZI,Airlines,7.7,HONG KONG,Online,9.0,F,22.0,Basic Plan,0.0
61406,43.0,JZI,Airlines,15.75,CHINA,Online,23.0,M,45.0,Value Plan,0.0
3760,68.0,CCR,Travel Agency,9.57,THAILAND,Offline,143.0,M,29.0,Comprehensive Plan,0.0
21957,44.0,C2B,Airlines,46.96,SINGAPORE,Online,366.0,F,187.85,Annual Silver Plan,1.0
36777,36.0,C2B,Airlines,9.25,SINGAPORE,Online,6.0,M,37.0,Silver Plan,0.0
27891,49.0,C2B,Airlines,63.21,SINGAPORE,Online,365.0,M,252.85,Annual Silver Plan,1.0
10580,19.0,C2B,Airlines,8.63,SINGAPORE,Online,14.0,F,34.5,Bronze Plan,0.0
46752,26.0,C2B,Airlines,15.5,SINGAPORE,Online,14.0,F,62.0,Silver Plan,1.0
50743,72.0,TST,Travel Agency,10.5,THAILAND,Offline,21.0,M,30.0,Travel Cruise Protect,0.0
60771,24.0,C2B,Airlines,103.0,SINGAPORE,Online,166.0,M,412.0,Silver Plan,1.0
55912,32.0,C2B,Airlines,5.63,SINGAPORE,Online,9.0,M,22.5,Silver Plan,1.0
4405,69.0,JZI,Airlines,7.7,CHINA,Online,9.0,F,22.0,Basic Plan,0.0
44757,25.0,C2B,Airlines,64.8,SINGAPORE,Online,366.0,F,259.2,Annual Silver Plan,1.0
49553,51.0,JZI,Airlines,9.1,CHINA,Online,13.0,F,26.0,Basic Plan,0.0
32513,28.0,C2B,Airlines,3.75,SINGAPORE,Online,11.0,M,15.0,Silver Plan,0.0
1551,118.0,JWT,Airlines,12.4,INDIA,Online,9.0,M,31.0,Value Plan,0.0
45326,33.0,C2B,Airlines,8.38,SINGAPORE,Online,48.0,F,33.5,Bronze Plan,0.0
17008,54.0,JZI,Airlines,6.3,MALAYSIA,Online,10.0,F,18.0,Basic Plan,0.0
54979,31.0,C2B,Airlines,12.13,SINGAPORE,Online,12.0,F,48.5,Silver Plan,1.0
49730,51.0,JZI,Airlines,7.7,CHINA,Online,14.0,M,22.0,Basic Plan,0.0
36032,43.0,LWC,Travel Agency,18.85,HONG KONG,Online,39.0,M,29.0,Single Trip Travel Protect Gold,0.0
52618,37.0,C2B,Airlines,5.63,SINGAPORE,Online,5.0,F,22.5,Silver Plan,1.0
6171,24.0,JZI,Airlines,6.3,THAILAND,Online,0.0,F,18.0,Basic Plan,0.0
56669,35.0,KML,Travel Agency,11.02,INDONESIA,Offline,2.0,M,29.0,Premier Plan,1.0
19660,66.0,C2B,Airlines,46.96,SINGAPORE,Online,411.0,F,187.85,Annual Silver Plan,0.0
28063,26.0,JZI,Airlines,12.95,MYANMAR,Online,83.0,F,37.0,Basic Plan,0.0
56305,33.0,C2B,Airlines,83.25,SINGAPORE,Online,373.0,M,0.0,Annual Gold Plan,0.0
57749,20.0,C2B,Airlines,14.13,SINGAPORE,Online,17.0,M,56.5,Silver Plan,1.0
49719,36.0,LWC,Travel Agency,166.53,UNITED STATES,Online,431.0,M,256.2,Annual Travel Protect Gold,0.0
20328,33.0,JZI,Airlines,12.25,SRI LANKA,Online,11.0,M,0.0,Basic Plan,0.0
40189,48.0,KML,Travel Agency,10.64,INDONESIA,Online,41.0,M,28.0,Value Plan,0.0
10927,55.0,JZI,Airlines,19.6,HONG KONG,Online,82.0,F,56.0,Basic Plan,0.0
60771,24.0,C2B,Airlines,103.0,SINGAPORE,Online,166.0,M,412.0,Silver Plan,1.0
10174,46.0,JZI,Airlines,7.7,CHINA,Online,3.0,M,22.0,Basic Plan,0.0
39705,26.0,C2B,Airlines,10.25,SINGAPORE,Online,10.0,F,41.0,Silver Plan,1.0
54492,45.0,JZI,Airlines,29.05,CHINA,Online,102.0,M,83.0,Value Plan,0.0
28768,60.0,C2B,Airlines,13.63,SINGAPORE,Online,88.0,M,54.5,Silver Plan,1.0
10382,39.0,JZI,Airlines,7.7,INDIA,Online,4.0,M,22.0,Basic Plan,0.0
58004,32.0,C2B,Airlines,6.75,SINGAPORE,Online,11.0,M,27.0,Bronze Plan,0.0
36079,45.0,JZI,Airlines,30.45,SWITZERLAND,Online,60.0,M,87.0,Value Plan,0.0
42816,58.0,C2B,Airlines,4.0,SINGAPORE,Online,30.0,F,16.0,Bronze Plan,1.0
35887,27.0,C2B,Airlines,3.75,SINGAPORE,Online,5.0,F,15.0,Silver Plan,0.0
48460,26.0,C2B,Airlines,64.8,SINGAPORE,Online,365.0,F,259.2,Annual Silver Plan,1.0
37584,53.0,C2B,Airlines,13.38,SINGAPORE,Online,128.0,F,53.5,Bronze Plan,1.0
54358,35.0,C2B,Airlines,54.0,SINGAPORE,Online,366.0,M,216.0,Annual Silver Plan,0.0
32683,62.0,RAB,Airlines,6.0,BRUNEI DARUSSALAM,Online,50.0,F,15.0,Value Plan,0.0
1368,118.0,JWT,Airlines,15.6,INDIA,Online,14.0,F,39.0,Value Plan,0.0
6558,20.0,JZI,Airlines,15.4,AUSTRALIA,Online,29.0,F,44.0,Basic Plan,0.0
43219,33.0,C2B,Airlines,7.25,SINGAPORE,Online,17.0,F,29.0,Silver Plan,0.0
8289,50.0,JZI,Airlines,9.1,CHINA,Online,52.0,M,26.0,Basic Plan,0.0
47975,56.0,TST,Travel Agency,10.5,THAILAND,Offline,58.0,M,30.0,Travel Cruise Protect,0.0
23336,46.0,C2B,Airlines,63.21,SINGAPORE,Online,365.0,M,252.85,Annual Silver Plan,1.0
35849,28.0,C2B,Airlines,11.75,SINGAPORE,Online,13.0,F,47.0,Bronze Plan,0.0
46752,26.0,C2B,Airlines,15.5,SINGAPORE,Online,14.0,F,62.0,Silver Plan,1.0
35645,33.0,C2B,Airlines,7.38,SINGAPORE,Online,19.0,F,29.5,Bronze Plan,0.0
39005,31.0,C2B,Airlines,63.21,SINGAPORE,Online,413.0,F,252.85,Annual Silver Plan,1.0
48949,44.0,JZI,Airlines,10.5,MYANMAR,Online,55.0,F,30.0,Basic Plan,0.0
40398,30.0,C2B,Airlines,15.5,SINGAPORE,Online,41.0,F,62.0,Silver Plan,0.0
42182,57.0,C2B,Airlines,17.38,SINGAPORE,Online,21.0,M,69.5,Bronze Plan,0.0
37332,27.0,C2B,Airlines,4.63,SINGAPORE,Online,7.0,F,18.5,Silver Plan,0.0
45312,46.0,C2B,Airlines,24.75,SINGAPORE,Online,40.0,M,99.0,Bronze Plan,1.0
29423,35.0,C2B,Airlines,18.0,SINGAPORE,Online,103.0,M,72.0,Bronze Plan,1.0
25433,47.0,JZI,Airlines,9.1,HONG KONG,Online,12.0,M,26.0,Basic Plan,0.0
47339,118.0,JWT,Airlines,12.4,INDIA,Online,1.0,M,31.0,Value Plan,0.0
29963,118.0,JWT,Airlines,80.0,INDIA,Online,20.0,M,200.0,Value Plan,0.0
16128,40.0,JZI,Airlines,12.95,INDONESIA,Online,89.0,F,37.0,Basic Plan,0.0
61998,28.0,C2B,Airlines,4.0,SINGAPORE,Online,5.0,F,16.0,Bronze Plan,0.0
54512,30.0,C2B,Airlines,17.38,SINGAPORE,Online,22.0,F,69.5,Bronze Plan,1.0
20776,30.0,C2B,Airlines,8.78,SINGAPORE,Online,5.0,M,35.1,Gold Plan,0.0
32214,30.0,C2B,Airlines,4.63,SINGAPORE,Online,6.0,F,18.5,Silver Plan,0.0
