person_age,person_income,person_emp_exp,loan_amnt,loan_int_rate,loan_percent_income,cb_person_cred_hist_length,credit_score,loan_status
26.0,360680.0,5,10000.0,10.38,0.03,4.0,649,Rejected
26.0,360977.0,5,25000.0,15.33,0.07,3.0,695,Rejected
25.0,361244.0,2,18000.0,16.45,0.05,3.0,620,Rejected
26.0,98230.0,2,30000.0,7.49,0.31,3.0,622,Approved
22.0,80838.0,0,30000.0,12.69,0.37,3.0,645,Approved
26.0,107957.0,2,30000.0,6.62,0.28,3.0,654,Approved
24.0,94649.0,2,30000.0,11.01,0.32,4.0,624,Approved
23.0,94550.0,1,30000.0,18.62,0.32,3.0,570,Approved
23.0,111153.0,3,30000.0,15.23,0.27,3.0,648,Approved
23.0,117250.0,0,30000.0,10.65,0.26,2.0,652,Approved
25.0,144985.0,3,30000.0,7.9,0.21,4.0,559,Rejected
26.0,337133.0,7,10000.0,15.96,0.03,3.0,623,Rejected
26.0,333566.0,2,20000.0,11.48,0.06,3.0,602,Rejected
23.0,333399.0,1,35000.0,11.01,0.1,4.0,609,Rejected
,154793.0,1,30000.0,7.29,0.19,4.0,573,Rejected
24.0,15229.0,1,1750.0,11.01,0.11,3.0,631,Rejected
21.0,158338.0,0,30000.0,5.99,0.19,4.0,623,Rejected
22.0,331034.0,0,12000.0,11.58,0.04,2.0,602,Rejected
26.0,316466.0,6,10000.0,11.01,0.03,4.0,579,Approved
25.0,267671.0,0,25000.0,15.7,0.09,2.0,582,Approved
22.0,85191.0,0,29100.0,15.99,0.34,3.0,700,Approved
22.0,15013.0,0,1500.0,14.84,0.1,3.0,688,Rejected
26.0,313100.0,3,28000.0,10.99,0.09,3.0,607,Rejected
25.0,311952.0,0,20000.0,14.42,0.06,2.0,661,Rejected
24.0,306897.0,5,9600.0,6.99,0.03,2.0,562,Rejected
25.0,301136.0,0,25000.0,13.49,0.08,4.0,664,Rejected
25.0,15162.0,1,3000.0,11.01,0.2,3.0,564,Approved
22.0,69042.0,0,28000.0,11.01,0.41,2.0,598,Approved
21.0,15307.0,0,3000.0,13.61,0.2,3.0,557,Approved
23.0,79183.0,0,28000.0,7.9,0.35,2.0,677,Approved
26.0,102654.0,4,28000.0,7.49,0.27,3.0,690,Approved
26.0,15229.0,1,6100.0,7.51,0.4,3.0,599,Approved
,106566.0,0,28000.0,9.91,0.26,3.0,604,Approved
21.0,15252.0,0,4200.0,13.48,0.28,4.0,663,Approved
22.0,15432.0,3,4750.0,7.14,0.31,2.0,601,Approved
24.0,100332.0,1,28000.0,15.99,0.28,4.0,634,Approved
24.0,300951.0,2,18000.0,12.98,0.06,3.0,671,Rejected
144.0,300616.0,125,4800.0,13.57,0.02,3.0,789,Rejected
25.0,121062.0,1,28000.0,12.69,0.23,3.0,622,Rejected
26.0,133372.0,1,28000.0,8.9,0.21,2.0,538,Rejected
26.0,15505.0,0,2700.0,11.01,0.17,4.0,587,Approved
22.0,130852.0,0,28000.0,11.01,0.21,4.0,683,Approved
23.0,182316.0,0,28000.0,11.11,0.15,2.0,634,Rejected
24.0,83853.0,3,27600.0,11.01,0.33,2.0,690,Approved
21.0,15394.0,0,3250.0,15.68,0.21,3.0,518,Approved
22.0,85243.0,0,27500.0,13.06,0.32,3.0,583,Approved
22.0,288907.0,2,25000.0,11.01,0.09,2.0,617,Rejected
26.0,89074.0,4,27050.0,15.62,0.3,2.0,668,Approved
24.0,100509.0,2,27000.0,13.49,0.27,2.0,673,Approved
24.0,88950.0,3,27000.0,11.01,0.3,3.0,706,Approved
23.0,75894.0,1,26000.0,11.71,0.34,2.0,536,Approved
23.0,145092.0,0,25600.0,12.69,0.18,3.0,557,Rejected
24.0,15928.0,1,1600.0,13.57,0.1,3.0,689,Rejected
22.0,73131.0,3,25475.0,10.99,0.35,3.0,681,Approved
25.0,281501.0,4,20000.0,14.27,0.07,4.0,623,Rejected
24.0,281775.0,0,20000.0,8.88,0.07,4.0,595,Rejected
26.0,281792.0,1,21600.0,12.18,0.08,3.0,584,Rejected
25.0,266090.0,4,11900.0,14.42,0.04,3.0,669,Approved
26.0,279664.0,3,25000.0,14.17,0.09,2.0,642,Rejected
25.0,277017.0,4,35000.0,13.99,0.13,4.0,622,Rejected
23.0,100756.0,0,25300.0,10.99,0.25,3.0,689,Approved
22.0,16218.0,1,2000.0,5.42,0.12,4.0,614,Approved
25.0,16211.0,2,1750.0,13.61,0.11,3.0,597,Rejected
21.0,51922.0,3,25000.0,12.73,0.48,3.0,673,Approved
24.0,50309.0,3,25000.0,11.01,0.5,3.0,625,Approved
25.0,16378.0,0,3000.0,12.87,0.18,4.0,603,Approved
24.0,16572.0,0,3650.0,9.91,0.22,3.0,589,Approved
26.0,272201.0,5,20000.0,11.49,0.07,4.0,670,Rejected
25.0,271324.0,3,30000.0,19.91,0.11,2.0,637,Rejected
26.0,256862.0,2,35000.0,10.65,0.14,2.0,643,Approved
24.0,271342.0,0,6000.0,11.01,0.02,4.0,508,Rejected
24.0,16470.0,2,4500.0,11.83,0.27,4.0,643,Approved
23.0,16599.0,0,2400.0,13.49,0.14,2.0,505,Approved
22.0,51608.0,0,25000.0,14.59,0.48,2.0,593,Approved
26.0,58516.0,6,25000.0,9.64,0.43,4.0,686,Approved
25.0,16395.0,4,3600.0,14.59,0.22,3.0,646,Approved
22.0,16890.0,0,4750.0,11.01,0.28,3.0,645,Approved
25.0,51747.0,3,25000.0,16.35,0.48,3.0,697,Approved
21.0,59864.0,0,25000.0,10.99,0.42,2.0,648,Approved
25.0,270972.0,1,25000.0,18.67,0.09,2.0,640,Rejected
26.0,270870.0,5,3000.0,9.32,0.01,4.0,681,Rejected
23.0,270729.0,0,7500.0,8.63,0.03,2.0,646,Rejected
26.0,270877.0,4,25000.0,10.08,0.09,2.0,615,Rejected
22.0,60501.0,0,25000.0,11.83,0.41,3.0,687,Approved
23.0,60754.0,1,25000.0,7.9,0.41,3.0,650,Approved
25.0,60829.0,0,25000.0,5.99,0.41,2.0,588,Approved
24.0,53825.0,2,25000.0,15.33,0.46,2.0,652,Approved
23.0,60801.0,0,25000.0,11.83,0.41,4.0,658,Approved
22.0,60747.0,0,25000.0,10.36,0.41,2.0,634,Approved
22.0,61029.0,0,25000.0,12.23,0.41,3.0,623,Approved
22.0,63236.0,0,25000.0,11.11,0.4,4.0,635,Approved
23.0,17149.0,0,4950.0,7.9,0.29,4.0,531,Approved
24.0,265066.0,4,25000.0,11.58,0.09,2.0,665,Rejected
23.0,260205.0,2,21000.0,8.9,0.08,3.0,703,Rejected
25.0,260035.0,5,25000.0,16.07,0.1,3.0,585,Rejected
26.0,260444.0,4,20000.0,14.22,0.08,2.0,594,Rejected
23.0,258980.0,0,35000.0,14.79,0.14,3.0,618,Rejected
26.0,259081.0,2,12000.0,7.88,0.05,2.0,626,Rejected
23.0,63497.0,0,25000.0,13.22,0.39,2.0,695,Approved
26.0,56325.0,2,25000.0,11.86,0.44,4.0,690,Approved
22.0,64842.0,0,25000.0,13.43,0.39,4.0,574,Approved
26.0,57856.0,0,25000.0,15.28,0.43,2.0,602,Approved
23.0,57318.0,0,25000.0,17.93,0.44,2.0,679,Approved
23.0,16916.0,2,1400.0,9.25,0.08,4.0,615,Rejected
21.0,16664.0,0,4500.0,12.98,0.27,4.0,601,Approved
22.0,252803.0,0,16000.0,10.62,0.06,4.0,577,Rejected
26.0,253061.0,3,22000.0,11.83,0.09,4.0,588,Rejected
26.0,58602.0,8,25000.0,18.43,0.43,2.0,595,Approved
22.0,67012.0,2,25000.0,11.01,0.37,4.0,653,Approved
24.0,66643.0,3,25000.0,11.01,0.38,4.0,663,Approved
23.0,66599.0,0,25000.0,11.36,0.38,3.0,653,Approved
23.0,67212.0,2,25000.0,15.65,0.37,3.0,598,Approved
24.0,66918.0,1,25000.0,13.22,0.37,4.0,630,Approved
,68066.0,2,25000.0,12.87,0.37,2.0,637,Approved
24.0,245545.0,1,20000.0,13.04,0.08,3.0,660,Rejected
23.0,229083.0,0,22000.0,17.58,0.1,3.0,639,Approved
23.0,17859.0,0,7750.0,17.04,0.43,4.0,626,Approved
24.0,72608.0,3,25000.0,10.99,0.34,3.0,612,Approved
24.0,73073.0,1,25000.0,11.11,0.34,3.0,628,Approved
26.0,65880.0,2,25000.0,14.83,0.38,2.0,592,Approved
23.0,17755.0,1,4000.0,11.01,0.23,3.0,580,Approved
24.0,241180.0,3,12000.0,12.69,0.05,2.0,634,Rejected
24.0,240894.0,3,12000.0,13.49,0.05,2.0,678,Rejected
21.0,240980.0,0,16000.0,14.65,0.07,4.0,557,Rejected
25.0,65742.0,3,25000.0,16.82,0.38,4.0,672,Approved
23.0,72713.0,0,25000.0,12.73,0.34,3.0,613,Approved
23.0,72627.0,3,25000.0,10.25,0.34,4.0,566,Approved
21.0,72843.0,0,25000.0,10.99,0.34,4.0,718,Approved
25.0,75504.0,4,25000.0,12.73,0.33,2.0,484,Approved
22.0,68824.0,0,25000.0,14.96,0.36,3.0,634,Approved
23.0,241167.0,2,28000.0,11.01,0.12,2.0,653,Rejected
21.0,241060.0,0,25000.0,13.99,0.1,2.0,699,Rejected
24.0,240855.0,0,24000.0,7.49,0.1,4.0,656,Rejected
26.0,241030.0,3,15000.0,14.79,0.06,3.0,626,Rejected
25.0,240895.0,2,15500.0,11.99,0.06,2.0,659,Rejected
24.0,240932.0,4,10000.0,8.49,0.04,4.0,604,Rejected
24.0,80145.0,1,25000.0,9.91,0.31,2.0,636,Approved
,80303.0,0,25000.0,13.06,0.31,3.0,554,Approved
22.0,241048.0,0,9000.0,6.17,0.04,4.0,587,Rejected
144.0,241424.0,121,6000.0,11.86,0.02,2.0,807,Rejected
25.0,241005.0,4,18000.0,16.32,0.07,3.0,708,Rejected
25.0,240768.0,2,12000.0,10.38,0.05,2.0,669,Rejected
25.0,241201.0,2,23050.0,14.35,0.1,3.0,578,Rejected
24.0,240920.0,5,20000.0,11.01,0.08,3.0,615,Rejected
,72919.0,1,25000.0,11.01,0.34,2.0,553,Approved
21.0,18008.0,0,3000.0,11.01,0.17,4.0,635,Approved
26.0,81238.0,3,25000.0,15.21,0.31,2.0,531,Approved
23.0,80868.0,1,25000.0,7.9,0.31,4.0,621,Approved
24.0,81537.0,1,25000.0,10.99,0.31,3.0,674,Approved
24.0,82741.0,0,25000.0,14.09,0.3,3.0,688,Approved
25.0,83901.0,3,25000.0,17.49,0.3,2.0,597,Approved
25.0,240717.0,1,12000.0,11.48,0.05,3.0,640,Rejected
26.0,226744.0,0,20000.0,17.74,0.09,2.0,621,Approved
26.0,241114.0,5,3000.0,13.92,0.01,3.0,608,Rejected
25.0,85284.0,3,25000.0,15.21,0.29,3.0,653,Approved
22.0,18152.0,0,4000.0,10.99,0.22,3.0,585,Approved
24.0,84871.0,3,25000.0,11.86,0.29,4.0,569,Approved
24.0,18294.0,2,6000.0,7.49,0.33,3.0,587,Approved
24.0,68029.0,1,25000.0,16.49,0.37,4.0,631,Approved
25.0,80001.0,4,25000.0,15.33,0.31,2.0,592,Approved
26.0,79875.0,6,25000.0,11.58,0.31,4.0,679,Approved
25.0,18449.0,1,5375.0,5.79,0.29,2.0,645,Approved
25.0,88153.0,0,25000.0,13.11,0.28,2.0,669,Approved
23.0,90109.0,0,25000.0,10.36,0.28,3.0,653,Approved
25.0,90938.0,1,25000.0,10.36,0.27,2.0,577,Approved
24.0,231335.0,0,22000.0,11.01,0.1,2.0,668,Rejected
21.0,231829.0,0,20000.0,6.54,0.09,4.0,629,Rejected
25.0,230516.0,4,10000.0,12.53,0.04,4.0,643,Rejected
26.0,229626.0,0,15000.0,11.01,0.07,3.0,626,Rejected
22.0,228907.0,0,10000.0,11.01,0.04,3.0,560,Rejected
24.0,90938.0,0,25000.0,10.25,0.27,4.0,648,Approved
22.0,86284.0,0,25000.0,15.95,0.29,4.0,648,Approved
26.0,228774.0,3,20000.0,12.18,0.09,4.0,669,Rejected
23.0,229027.0,2,24000.0,11.83,0.1,3.0,536,Rejected
23.0,94789.0,1,25000.0,11.01,0.26,2.0,548,Approved
23.0,94780.0,0,25000.0,10.62,0.26,3.0,667,Approved
23.0,95298.0,0,25000.0,10.74,0.26,3.0,676,Approved
25.0,223944.0,1,10000.0,10.25,0.04,4.0,570,Rejected
24.0,222629.0,0,35000.0,12.42,0.16,2.0,623,Rejected
25.0,222973.0,2,15000.0,15.27,0.07,2.0,652,Rejected
24.0,75240.0,1,25000.0,15.33,0.33,2.0,625,Approved
23.0,96143.0,1,25000.0,15.21,0.26,2.0,642,Approved
21.0,18064.0,0,6250.0,14.72,0.35,2.0,580,Approved
24.0,96627.0,2,25000.0,15.7,0.26,2.0,622,Approved
24.0,96309.0,3,25000.0,13.35,0.26,4.0,581,Approved
21.0,18421.0,1,1500.0,11.01,0.08,4.0,623,Rejected
24.0,96836.0,1,25000.0,6.62,0.26,2.0,583,Approved
26.0,96947.0,4,25000.0,13.61,0.26,4.0,645,Approved
22.0,222975.0,2,25000.0,11.36,0.11,2.0,593,Rejected
26.0,222985.0,3,5000.0,7.68,0.02,2.0,659,Rejected
24.0,223064.0,0,22000.0,14.46,0.1,4.0,655,Rejected
23.0,221559.0,2,2500.0,11.83,0.01,2.0,583,Rejected
24.0,207712.0,0,20000.0,13.47,0.1,4.0,582,Approved
24.0,220872.0,1,20000.0,11.49,0.09,3.0,504,Rejected
22.0,220518.0,0,1000.0,11.01,0.0,2.0,551,Rejected
25.0,220510.0,1,15000.0,6.03,0.07,3.0,529,Rejected
23.0,89818.0,0,25000.0,16.35,0.28,4.0,674,Approved
26.0,90006.0,4,25000.0,11.01,0.28,4.0,595,Approved
25.0,98704.0,6,25000.0,7.29,0.25,3.0,597,Approved
23.0,98967.0,5,25000.0,11.36,0.25,3.0,566,Approved
24.0,99435.0,3,25000.0,10.25,0.25,2.0,666,Rejected
,100658.0,1,25000.0,11.12,0.25,3.0,695,Rejected
24.0,100435.0,2,25000.0,12.92,0.25,3.0,576,Rejected
24.0,216925.0,5,18000.0,18.64,0.08,4.0,651,Rejected
23.0,216891.0,0,28000.0,7.51,0.13,3.0,633,Rejected
23.0,18512.0,1,4000.0,16.7,0.22,2.0,566,Approved
22.0,18367.0,0,2100.0,11.14,0.11,4.0,583,Rejected
22.0,102317.0,0,25000.0,18.3,0.24,4.0,586,Rejected
24.0,103400.0,4,25000.0,10.62,0.24,4.0,592,Rejected
,217134.0,2,14000.0,11.99,0.06,2.0,598,Rejected
26.0,217024.0,1,12000.0,9.63,0.06,4.0,637,Rejected
25.0,172215.0,5,10000.0,18.25,0.06,4.0,628,Approved
23.0,18831.0,0,6000.0,11.01,0.32,4.0,667,Approved
24.0,105349.0,5,25000.0,14.84,0.24,3.0,621,Rejected
24.0,91184.0,1,25000.0,14.7,0.27,3.0,668,Approved
,91886.0,1,25000.0,16.02,0.27,4.0,544,Approved
23.0,80452.0,2,25000.0,15.37,0.31,2.0,699,Approved
25.0,108758.0,2,25000.0,10.99,0.23,4.0,611,Rejected
21.0,18916.0,0,6200.0,7.9,0.33,2.0,615,Approved
26.0,217234.0,5,25000.0,10.99,0.12,4.0,559,Rejected
24.0,217017.0,0,21000.0,11.48,0.1,3.0,577,Rejected
25.0,216874.0,1,20000.0,14.26,0.09,4.0,657,Rejected
26.0,216833.0,5,10000.0,8.0,0.05,4.0,676,Rejected
25.0,216483.0,0,9950.0,11.26,0.05,2.0,601,Rejected
23.0,19000.0,2,4475.0,11.01,0.24,4.0,647,Approved
23.0,94363.0,0,25000.0,16.32,0.26,3.0,576,Approved
25.0,80570.0,3,25000.0,17.93,0.31,4.0,612,Approved
23.0,109167.0,0,25000.0,11.36,0.23,3.0,678,Rejected
24.0,95753.0,1,25000.0,14.96,0.26,4.0,542,Approved
24.0,110935.0,1,25000.0,13.43,0.23,3.0,709,Rejected
25.0,111490.0,2,25000.0,12.69,0.22,3.0,622,Rejected
24.0,111729.0,4,25000.0,12.73,0.22,4.0,642,Rejected
23.0,113396.0,0,25000.0,15.21,0.22,4.0,660,Rejected
23.0,19175.0,1,1750.0,12.68,0.09,3.0,587,Rejected
23.0,85787.0,0,25000.0,19.04,0.29,4.0,646,Approved
25.0,102114.0,7,25000.0,15.95,0.24,3.0,637,Approved
26.0,211005.0,5,2600.0,8.9,0.01,4.0,718,Rejected
25.0,210903.0,4,8000.0,7.9,0.04,2.0,588,Rejected
22.0,210555.0,0,18000.0,11.01,0.09,2.0,652,Rejected
23.0,210937.0,0,21000.0,11.99,0.1,3.0,620,Rejected
23.0,19062.0,2,4000.0,13.98,0.21,4.0,667,Approved
23.0,18926.0,0,4600.0,10.99,0.24,2.0,688,Approved
22.0,106694.0,0,25000.0,15.58,0.23,2.0,667,Approved
25.0,90718.0,4,25000.0,10.99,0.28,2.0,692,Approved
25.0,106668.0,1,25000.0,14.96,0.23,4.0,562,Approved
25.0,19158.0,4,1750.0,15.31,0.09,4.0,625,Rejected
26.0,106419.0,5,25000.0,15.65,0.23,3.0,649,Approved
25.0,120696.0,3,25000.0,9.33,0.21,4.0,545,Rejected
23.0,19065.0,3,3600.0,13.47,0.19,4.0,540,Approved
24.0,124083.0,0,25000.0,10.36,0.2,3.0,637,Rejected
24.0,111673.0,4,25000.0,16.77,0.22,4.0,600,Approved
23.0,112633.0,1,25000.0,14.59,0.22,2.0,633,Approved
22.0,210938.0,0,3500.0,11.91,0.02,2.0,588,Rejected
23.0,210720.0,2,7200.0,8.38,0.03,3.0,624,Rejected
25.0,210705.0,7,9000.0,10.59,0.04,3.0,525,Rejected
,209997.0,3,8800.0,14.27,0.04,3.0,616,Rejected
26.0,209873.0,3,12000.0,12.53,0.06,4.0,675,Rejected
25.0,195268.0,1,25000.0,16.0,0.13,3.0,662,Approved
26.0,209393.0,2,10000.0,11.71,0.05,4.0,585,Rejected
21.0,18773.0,0,3175.0,11.54,0.17,3.0,686,Approved
25.0,116439.0,2,25000.0,15.68,0.21,4.0,595,Approved
21.0,19169.0,2,1500.0,10.59,0.08,2.0,537,Rejected
24.0,118417.0,0,25000.0,12.61,0.21,2.0,625,Approved
26.0,133476.0,0,25000.0,11.01,0.19,2.0,641,Rejected
23.0,19312.0,4,2800.0,8.49,0.14,3.0,661,Approved
25.0,192351.0,1,30000.0,17.27,0.16,4.0,577,Approved
24.0,206648.0,4,18000.0,8.9,0.09,4.0,537,Rejected
25.0,205046.0,6,10000.0,11.11,0.05,4.0,646,Rejected
24.0,190735.0,1,25000.0,14.59,0.13,2.0,653,Approved
26.0,204872.0,3,13000.0,12.42,0.06,3.0,654,Rejected
24.0,100758.0,0,25000.0,11.01,0.25,2.0,635,Approved
,133231.0,3,25000.0,15.7,0.19,2.0,675,Rejected
22.0,18923.0,0,2500.0,12.53,0.13,3.0,618,Approved
25.0,161894.0,0,5000.0,16.49,0.03,2.0,609,Approved
25.0,205144.0,0,20000.0,7.49,0.1,2.0,545,Rejected
22.0,121617.0,2,25000.0,14.96,0.21,2.0,629,Approved
25.0,136206.0,6,25000.0,12.73,0.18,4.0,539,Rejected
24.0,144915.0,4,25000.0,10.65,0.17,4.0,593,Rejected
25.0,145233.0,3,25000.0,10.74,0.17,2.0,683,Rejected
23.0,145002.0,1,25000.0,9.99,0.17,2.0,670,Rejected
24.0,110953.0,0,25000.0,15.33,0.23,2.0,662,Approved
21.0,19414.0,2,1000.0,7.29,0.05,4.0,681,Rejected
26.0,130096.0,1,25000.0,15.05,0.19,3.0,636,Approved
26.0,157292.0,0,25000.0,10.75,0.16,3.0,677,Rejected
23.0,156995.0,3,25000.0,16.02,0.16,2.0,656,Rejected
23.0,156952.0,0,25000.0,11.49,0.16,4.0,674,Rejected
25.0,205005.0,6,20000.0,12.53,0.1,4.0,587,Rejected
26.0,205060.0,2,12000.0,13.57,0.06,2.0,658,Rejected
22.0,203782.0,4,14000.0,11.14,0.07,3.0,581,Rejected
,203368.0,3,24250.0,12.87,0.12,3.0,606,Rejected
23.0,203403.0,0,20000.0,11.58,0.1,3.0,648,Rejected
24.0,202715.0,3,1800.0,11.12,0.01,3.0,563,Rejected
25.0,202525.0,1,35000.0,10.65,0.17,2.0,589,Rejected
24.0,161487.0,1,25000.0,10.37,0.15,2.0,641,Rejected
24.0,19677.0,3,3300.0,6.39,0.17,4.0,637,Approved
24.0,161952.0,2,25000.0,16.07,0.15,3.0,578,Rejected
25.0,161560.0,0,25000.0,10.62,0.15,2.0,660,Rejected
25.0,19423.0,3,3200.0,18.09,0.16,2.0,586,Approved
25.0,163134.0,5,25000.0,11.36,0.15,4.0,567,Rejected
26.0,163683.0,5,25000.0,12.53,0.15,4.0,582,Rejected
25.0,174972.0,3,25000.0,9.99,0.14,4.0,712,Rejected
23.0,181016.0,4,25000.0,10.36,0.14,3.0,674,Rejected
23.0,198920.0,0,9600.0,5.99,0.05,3.0,532,Rejected
22.0,184800.0,1,24000.0,15.62,0.13,2.0,670,Approved
24.0,198862.0,6,20000.0,10.37,0.1,4.0,658,Rejected
25.0,199407.0,0,25000.0,19.74,0.13,4.0,669,Rejected
21.0,198803.0,0,20000.0,6.91,0.1,4.0,681,Rejected
23.0,20044.0,3,6000.0,7.9,0.3,2.0,618,Approved
23.0,20401.0,4,2275.0,13.06,0.11,4.0,573,Rejected
23.0,19859.0,0,2000.0,6.39,0.1,3.0,491,Rejected
23.0,178660.0,2,25000.0,14.93,0.14,3.0,590,Approved
23.0,20421.0,0,5600.0,12.84,0.27,4.0,587,Approved
24.0,20353.0,2,3625.0,17.14,0.18,2.0,648,Approved
22.0,20297.0,0,5500.0,7.14,0.27,3.0,687,Approved
25.0,210932.0,0,25000.0,8.9,0.12,2.0,621,Rejected
22.0,20405.0,0,2000.0,12.42,0.1,3.0,590,Rejected
24.0,223194.0,0,25000.0,12.68,0.11,2.0,676,Rejected
25.0,195560.0,0,25000.0,11.03,0.13,2.0,677,Rejected
26.0,194140.0,6,30000.0,7.9,0.15,4.0,651,Rejected
22.0,193337.0,0,35000.0,10.65,0.18,4.0,602,Rejected
25.0,270992.0,2,25000.0,11.86,0.09,4.0,652,Rejected
25.0,20221.0,5,5000.0,8.94,0.25,4.0,572,Approved
23.0,20678.0,0,4375.0,9.63,0.21,4.0,528,Approved
25.0,60742.0,3,24750.0,14.22,0.41,3.0,638,Approved
23.0,72805.0,2,24750.0,9.33,0.34,3.0,655,Approved
24.0,102011.0,3,24500.0,13.85,0.24,4.0,627,Rejected
22.0,20896.0,0,2000.0,10.65,0.1,2.0,596,Rejected
24.0,111283.0,0,24500.0,11.46,0.22,4.0,694,Rejected
23.0,192873.0,0,35000.0,7.66,0.18,2.0,684,Rejected
24.0,193174.0,0,12000.0,16.77,0.06,4.0,547,Rejected
25.0,193249.0,0,12000.0,9.63,0.06,4.0,586,Rejected
26.0,192954.0,5,25000.0,12.23,0.13,4.0,694,Rejected
25.0,152227.0,2,10000.0,14.09,0.07,4.0,639,Approved
25.0,65399.0,0,24250.0,13.98,0.37,4.0,663,Approved
23.0,75928.0,4,24250.0,10.62,0.32,4.0,528,Approved
24.0,21627.0,0,3900.0,11.01,0.18,3.0,636,Approved
25.0,83235.0,3,24250.0,17.56,0.29,4.0,603,Approved
26.0,68297.0,3,24250.0,14.96,0.36,2.0,507,Approved
22.0,89977.0,3,24250.0,15.65,0.27,2.0,692,Approved
24.0,79510.0,2,24250.0,15.7,0.3,2.0,604,Approved
24.0,109050.0,5,24250.0,12.53,0.22,3.0,622,Rejected
26.0,94635.0,2,24250.0,17.56,0.26,3.0,643,Approved
23.0,120966.0,0,24250.0,12.87,0.2,2.0,565,Rejected
23.0,124437.0,0,24250.0,15.7,0.19,2.0,718,Rejected
25.0,193147.0,3,9000.0,11.01,0.05,3.0,625,Rejected
25.0,192914.0,0,15000.0,11.14,0.08,4.0,614,Rejected
24.0,192806.0,2,20000.0,16.0,0.1,3.0,690,Rejected
23.0,193097.0,0,25000.0,15.65,0.13,2.0,564,Rejected
26.0,193082.0,5,13750.0,11.01,0.07,4.0,579,Rejected
21.0,192841.0,1,15250.0,15.31,0.08,4.0,648,Rejected
25.0,193300.0,3,20000.0,13.47,0.1,2.0,531,Rejected
22.0,21205.0,0,4750.0,13.85,0.22,2.0,658,Approved
25.0,135292.0,3,24250.0,11.01,0.18,3.0,574,Rejected
21.0,21363.0,2,6000.0,10.39,0.28,4.0,671,Approved
25.0,139035.0,7,24250.0,11.36,0.17,2.0,633,Rejected
23.0,173511.0,0,24250.0,11.83,0.14,3.0,631,Rejected
23.0,345520.0,0,24250.0,12.53,0.07,3.0,652,Rejected
22.0,130762.0,3,24150.0,14.96,0.18,3.0,683,Approved
22.0,52596.0,0,24000.0,13.85,0.46,3.0,693,Approved
