ID,Temperature,Humidity,Wind Speed,Precipitation (%),Cloud Cover,Atmospheric Pressure,UV Index,Season,Visibility (km),Location,Weather Type
W9449,-3.0,100,17.0,77.0,overcast,989.35,5,Winter,4.0,inland,Snowy
W9170,40.0,94,15.0,97.0,clear,1021.59,3,Autumn,4.5,coastal,Sunny
W9821,15.0,61,11.0,63.0,overcast,1006.12,3,Spring,4.5,mountain,Rainy
W2949,26.0,90,26.0,88.0,partly cloudy,998.97,4,Summer,2.5,coastal,Rainy
W4513,-9.0,69,6.0,76.0,overcast,998.28,1,Winter,3.0,mountain,Snowy
W8530,0.0,64,8.5,75.0,overcast,988.73,0,Winter,2.0,mountain,Snowy
W9718,26.0,67,11.0,74.0,overcast,993.37,1,Spring,1.5,inland,Rainy
W7086,5.0,21,14.5,17.0,cloudy,886.6,13,Autumn,0.5,coastal,Cloudy
W2517,41.0,50,8.5,6.0,partly cloudy,1017.27,9,Spring,6.0,inland,Sunny
W10641,40.0,62,6.0,12.0,clear,1022.43,10,Winter,7.0,inland,Sunny
W6933,20.0,22,4.5,18.0,partly cloudy,1014.29,10,Summer,8.5,inland,Sunny
W12677,33.0,63,15.5,94.0,overcast,1012.72,2,Autumn,4.0,inland,Rainy
W5242,32.0,66,12.5,41.0,partly cloudy,1006.41,4,Autumn,8.0,coastal,Cloudy
W3040,3.0,66,2.5,54.0,partly cloudy,983.49,0,Winter,4.0,mountain,Snowy
W297,24.0,77,13.5,89.0,partly cloudy,1019.08,2,Summer,4.0,inland,Rainy
W6395,11.0,82,13.0,68.0,overcast,998.55,1,Summer,1.5,inland,Rainy
W4250,43.0,41,1.0,0.0,partly cloudy,1029.63,6,Spring,8.0,mountain,Sunny
W6611,16.0,65,12.5,27.0,cloudy,1146.34,8,Winter,15.0,inland,Rainy
W4952,17.0,63,4.5,44.0,partly cloudy,1008.97,3,Spring,6.5,coastal,Cloudy
W10465,-8.0,73,7.0,87.0,overcast,992.94,1,Winter,2.5,mountain,Snowy
W11486,27.0,60,8.0,92.0,overcast,991.3,2,Autumn,2.0,coastal,Rainy
W1979,28.0,45,7.5,1.0,clear,1019.2,9,Spring,5.0,inland,Sunny
W4244,14.0,82,18.0,83.0,overcast,993.21,10,Autumn,2.0,mountain,Rainy
W6431,-3.0,64,2.0,53.0,overcast,983.9,1,Winter,1.5,inland,Snowy
W7441,28.0,57,5.0,21.0,partly cloudy,1009.21,3,Spring,8.5,inland,Cloudy
W11775,24.0,64,11.0,98.0,overcast,992.78,1,Summer,5.0,inland,Rainy
W6616,30.0,29,0.5,13.0,partly cloudy,1013.89,6,Winter,7.0,coastal,Sunny
W3195,39.0,109,17.0,95.0,partly cloudy,1019.88,3,Summer,7.5,inland,Cloudy
W5093,22.0,58,9.0,22.0,overcast,1004.77,3,Spring,7.5,coastal,Cloudy
W1545,34.0,66,8.5,95.0,cloudy,1023.42,10,Spring,16.5,coastal,Snowy
W11593,23.0,66,9.0,85.0,overcast,1004.01,3,Winter,4.5,mountain,Rainy
W3497,24.0,23,9.0,18.0,clear,1020.46,7,Winter,7.0,coastal,Sunny
W13145,13.0,69,11.0,32.0,partly cloudy,1003.45,1,Summer,7.0,coastal,Cloudy
W11155,12.0,85,18.0,86.0,partly cloudy,997.97,2,Spring,4.5,coastal,Rainy
W851,31.0,91,29.5,104.0,overcast,995.61,8,Summer,4.5,inland,Rainy
W10010,19.0,56,5.0,28.0,overcast,1000.45,4,Summer,7.5,inland,Cloudy
W9215,31.0,96,9.0,81.0,overcast,1019.95,2,Spring,3.5,inland,Rainy
W1514,28.0,71,9.0,66.0,partly cloudy,1007.58,1,Spring,2.0,inland,Rainy
W8283,42.0,68,0.5,11.0,clear,1013.11,5,Summer,9.0,inland,Sunny
W6807,23.0,86,12.0,52.0,partly cloudy,1006.72,0,Spring,3.0,coastal,Rainy
W9867,37.0,39,4.0,4.0,clear,1018.48,8,Spring,5.5,mountain,Sunny
W81,27.0,73,9.5,47.0,partly cloudy,1017.82,1,Summer,7.0,coastal,Cloudy
W4697,2.0,98,13.5,54.0,partly cloudy,990.51,1,Winter,4.0,inland,Snowy
W11342,-4.0,108,23.5,97.0,overcast,995.67,12,Winter,2.0,inland,Snowy
W4152,43.0,63,6.5,92.0,cloudy,867.75,8,Winter,5.0,mountain,Rainy
W2745,43.0,24,2.0,15.0,clear,1014.48,6,Autumn,9.5,inland,Sunny
W267,13.0,79,11.0,63.0,overcast,990.71,2,Spring,4.5,coastal,Rainy
W3434,2.0,75,7.5,99.0,overcast,997.93,7,Winter,3.0,mountain,Snowy
W8099,22.0,86,11.5,69.0,overcast,990.64,1,Summer,1.0,mountain,Rainy
W1824,38.0,88,23.5,78.0,overcast,1002.81,6,Winter,6.5,inland,Cloudy
W11608,-4.0,108,21.0,83.0,overcast,986.62,0,Winter,1.5,inland,Snowy
W3656,-9.0,96,0.0,99.0,overcast,995.66,1,Winter,4.5,inland,Snowy
W4309,-1.0,63,2.0,92.0,partly cloudy,994.93,0,Winter,4.5,inland,Snowy
W155,13.0,75,9.5,40.0,overcast,1005.39,2,Autumn,8.0,inland,Cloudy
W12906,3.0,74,10.0,40.0,cloudy,1139.11,14,Winter,2.0,coastal,Rainy
W7729,36.0,67,4.5,7.0,clear,1027.18,8,Winter,7.5,inland,Sunny
W12422,31.0,69,6.0,25.0,partly cloudy,998.99,7,Autumn,7.0,mountain,Sunny
W1104,48.0,47,1.5,97.0,overcast,932.54,4,Spring,17.0,coastal,Sunny
W8703,37.0,60,9.0,5.0,clear,1022.31,10,Winter,6.5,inland,Sunny
W4018,6.0,69,9.5,43.0,cloudy,927.25,14,Autumn,20.0,inland,Sunny
W2423,23.0,69,10.5,84.0,overcast,993.73,1,Spring,4.5,inland,Rainy
W5472,21.0,56,7.0,10.0,partly cloudy,1002.94,3,Summer,9.0,inland,Cloudy
W12401,-5.0,40,2.5,15.0,partly cloudy,1122.53,0,Autumn,5.5,mountain,Cloudy
W13,12.0,59,10.5,25.0,partly cloudy,1016.08,3,Autumn,5.5,mountain,Cloudy
W2766,64.0,109,13.5,90.0,clear,1019.1,2,Autumn,2.5,mountain,Sunny
W1388,0.0,63,18.0,54.0,overcast,986.52,0,Winter,4.0,inland,Snowy
W1995,22.0,53,5.5,13.0,overcast,1012.65,1,Spring,5.0,inland,Cloudy
W4549,52.0,80,17.0,71.0,clear,1022.7,13,Autumn,6.5,coastal,Sunny
W2170,25.0,60,19.0,61.0,overcast,1019.55,0,Summer,1.5,mountain,Rainy
W3012,28.0,63,3.0,12.0,overcast,1019.8,3,Autumn,7.5,mountain,Cloudy
W11522,31.0,68,3.5,5.0,partly cloudy,1013.62,8,Autumn,6.0,mountain,Sunny
W715,19.0,74,6.5,37.0,overcast,1018.34,2,Winter,7.0,coastal,Cloudy
W3432,12.0,94,19.0,56.0,partly cloudy,1003.53,2,Autumn,3.5,coastal,Rainy
W7819,31.0,81,6.0,72.0,overcast,994.91,3,Autumn,4.0,mountain,Rainy
W10063,41.0,22,3.5,11.0,clear,1024.33,5,Autumn,7.5,coastal,Sunny
W4217,0.0,90,14.5,90.0,overcast,993.79,0,Winter,3.0,inland,Snowy
W5684,16.0,109,38.0,98.0,partly cloudy,1019.21,1,Winter,1.5,mountain,Rainy
W11414,34.0,60,1.0,10.0,partly cloudy,1016.38,7,Autumn,6.0,inland,Sunny
W4862,18.0,65,13.5,17.0,overcast,1010.47,3,Summer,6.5,coastal,Cloudy
W11576,18.0,86,18.5,80.0,clear,1011.9,10,Spring,3.0,coastal,Sunny
W5585,-4.0,69,3.0,69.0,overcast,996.15,0,Winter,1.5,mountain,Snowy
W3207,19.0,68,11.5,12.0,overcast,1010.04,3,Summer,8.5,coastal,Cloudy
W5315,32.0,71,14.0,35.0,overcast,1009.56,3,Summer,6.0,mountain,Cloudy
W6965,-5.0,95,8.5,70.0,partly cloudy,997.74,1,Winter,4.0,mountain,Snowy
W11086,38.0,64,8.5,4.0,clear,1016.87,6,Autumn,6.5,mountain,Sunny
W8196,35.0,33,8.0,5.0,clear,1024.71,9,Winter,8.5,coastal,Sunny
W4158,6.0,63,13.0,19.0,cloudy,998.74,11,Summer,9.0,mountain,Cloudy
W11538,10.0,98,18.0,68.0,partly cloudy,998.54,0,Spring,2.0,coastal,Rainy
W11943,53.0,100,32.0,107.0,overcast,998.94,9,Autumn,1.0,mountain,Rainy
W1309,0.0,60,14.0,98.0,overcast,988.07,1,Winter,1.5,mountain,Snowy
W12829,43.0,43,7.5,14.0,clear,1018.7,5,Summer,9.5,coastal,Sunny
W13146,33.0,69,6.5,31.0,overcast,1019.26,2,Summer,9.0,coastal,Cloudy
W3341,27.0,98,12.0,94.0,partly cloudy,1010.09,3,Spring,4.0,mountain,Rainy
W11661,12.0,81,15.0,54.0,overcast,1003.56,0,Autumn,2.0,coastal,Rainy
W4122,-7.0,95,9.5,90.0,overcast,987.83,1,Winter,2.0,mountain,Snowy
W3637,-8.0,85,20.0,63.0,overcast,990.07,0,Winter,2.5,inland,Snowy
W9839,24.0,33,3.5,13.0,clear,1013.48,10,Autumn,8.0,coastal,Sunny
W7416,31.0,24,7.0,19.0,partly cloudy,1019.73,8,Spring,5.0,mountain,Sunny
W3541,27.0,78,8.0,21.0,partly cloudy,1019.21,2,Autumn,6.5,coastal,Cloudy
W1106,39.0,68,5.5,2.0,clear,1013.68,11,Winter,9.5,coastal,Sunny
W2873,2.0,73,6.0,58.0,overcast,985.32,0,Winter,2.5,mountain,Snowy
W7173,-9.0,91,8.5,99.0,partly cloudy,997.7,0,Winter,4.5,mountain,Snowy
W8459,38.0,86,45.0,72.0,partly cloudy,1007.42,1,Winter,2.0,coastal,Rainy
W11087,42.0,33,1.0,4.0,clear,1016.59,7,Spring,8.5,inland,Sunny
W7546,26.0,100,9.0,84.0,partly cloudy,1003.25,11,Spring,4.0,mountain,Rainy
W7372,20.0,52,12.0,11.0,overcast,1013.17,2,Autumn,6.5,mountain,Cloudy
W2531,25.0,51,4.0,45.0,overcast,1155.04,3,Winter,11.5,coastal,Sunny
W5984,29.0,52,14.5,20.0,partly cloudy,1014.66,3,Autumn,6.5,mountain,Cloudy
W1966,44.0,65,3.0,19.0,partly cloudy,1023.68,5,Spring,8.0,coastal,Sunny
W9528,9.0,77,7.5,30.0,cloudy,916.2,9,Spring,1.5,mountain,Cloudy
W761,30.0,53,2.0,22.0,overcast,1004.61,2,Spring,8.0,coastal,Cloudy
W65,24.0,52,9.0,29.0,partly cloudy,1007.84,1,Autumn,8.0,mountain,Cloudy
W10240,8.0,50,3.0,23.0,cloudy,816.14,8,Autumn,19.5,mountain,Snowy
W7296,30.0,85,15.5,80.0,partly cloudy,1016.63,1,Summer,5.0,inland,Rainy
W6090,3.0,73,14.0,79.0,overcast,997.57,1,Winter,2.0,inland,Snowy
W6037,-20.0,61,12.5,65.0,partly cloudy,1073.24,11,Spring,3.0,mountain,Sunny
W4653,-15.0,84,7.0,76.0,overcast,987.04,0,Winter,3.5,inland,Snowy
W2507,17.0,97,18.5,68.0,overcast,1008.74,0,Winter,5.0,inland,Rainy
W1717,30.0,51,6.0,15.0,clear,1012.33,8,Summer,5.0,mountain,Sunny
W5071,28.0,93,12.0,59.0,overcast,1009.69,3,Winter,2.5,coastal,Rainy
W10143,-5.0,71,14.5,94.0,partly cloudy,998.67,1,Winter,2.5,inland,Snowy
W13023,-3.0,82,19.0,66.0,overcast,982.55,1,Winter,4.5,mountain,Snowy
W10801,28.0,88,16.0,89.0,partly cloudy,995.21,0,Winter,3.0,mountain,Rainy
W943,2.0,75,9.0,103.0,overcast,994.71,5,Winter,0.5,inland,Snowy
W2472,4.0,87,11.5,76.0,overcast,993.36,1,Winter,2.0,mountain,Snowy
W7986,31.0,67,5.5,68.0,partly cloudy,1016.65,3,Winter,4.0,mountain,Rainy
W5649,3.0,75,5.5,36.0,overcast,1094.79,0,Winter,14.0,inland,Snowy
W10717,26.0,51,11.5,33.0,overcast,1001.95,3,Spring,6.5,mountain,Cloudy
W9158,13.0,95,12.0,65.0,overcast,1016.47,3,Winter,2.5,inland,Rainy
W2935,33.0,37,6.5,12.0,clear,1016.71,11,Spring,9.5,inland,Sunny
W13159,36.0,21,0.5,18.0,clear,1019.63,7,Spring,10.0,coastal,Sunny
W1576,10.0,77,18.0,62.0,overcast,1002.6,3,Autumn,3.0,coastal,Rainy
W7187,22.0,51,11.0,29.0,partly cloudy,1002.25,1,Autumn,6.0,coastal,Cloudy
W8708,24.0,47,3.0,19.0,partly cloudy,1022.97,7,Summer,7.5,inland,Sunny
W3600,11.0,50,5.5,28.0,overcast,1005.71,1,Spring,8.0,coastal,Cloudy
W9617,18.0,55,6.5,20.0,partly cloudy,1005.98,3,Winter,8.5,mountain,Cloudy
W12863,34.0,97,18.5,72.0,partly cloudy,1014.4,3,Autumn,4.5,inland,Rainy
W4964,20.0,62,6.0,1.0,clear,1025.1,7,Autumn,10.0,coastal,Sunny
W2157,24.0,42,2.5,1.0,partly cloudy,1019.33,7,Summer,6.0,mountain,Sunny
W4555,31.0,55,14.0,40.0,partly cloudy,1009.3,4,Summer,6.5,inland,Cloudy
W666,34.0,77,4.0,46.0,overcast,1015.98,1,Winter,5.0,coastal,Cloudy
W8322,26.0,99,18.0,83.0,overcast,999.85,2,Winter,3.0,mountain,Rainy
W9401,6.0,82,28.0,91.0,overcast,990.96,13,Winter,0.5,inland,Snowy
W18,33.0,51,0.5,27.0,overcast,1009.18,3,Autumn,5.5,coastal,Cloudy
W7012,27.0,76,2.0,41.0,overcast,1015.92,2,Spring,5.5,mountain,Cloudy
W7395,11.0,50,10.0,93.0,partly cloudy,985.63,5,Summer,11.5,inland,Snowy
W6588,18.0,65,9.5,83.0,overcast,1016.84,1,Summer,2.5,coastal,Rainy
W12804,32.0,57,9.0,6.0,clear,1021.55,5,Winter,5.5,coastal,Sunny
W2565,27.0,68,12.5,13.0,partly cloudy,1003.22,4,Spring,8.5,inland,Cloudy
W11124,26.0,76,2.0,27.0,partly cloudy,1017.78,3,Autumn,5.5,mountain,Cloudy
W5619,27.0,40,5.0,15.0,clear,1026.05,9,Summer,7.0,mountain,Sunny
W4448,44.0,62,9.0,19.0,clear,1019.09,9,Autumn,8.5,coastal,Sunny
W1342,-9.0,96,2.0,56.0,overcast,998.94,1,Winter,2.5,mountain,Snowy
W8447,16.0,83,8.0,95.0,overcast,1012.67,0,Winter,5.0,coastal,Rainy
W5712,39.0,49,3.5,4.0,partly cloudy,1019.35,5,Winter,9.0,mountain,Sunny
W3360,16.0,98,13.0,75.0,overcast,994.18,0,Autumn,1.5,inland,Rainy
W9156,21.0,97,5.5,50.0,overcast,998.55,2,Summer,5.0,coastal,Rainy
W977,30.0,45,6.0,9.0,clear,1012.48,7,Summer,8.0,mountain,Sunny
W2366,26.0,70,17.5,94.0,overcast,990.94,0,Autumn,4.5,coastal,Rainy
W5686,25.0,63,0.5,46.0,overcast,1016.21,3,Spring,5.5,coastal,Cloudy
W2335,2.0,65,16.5,51.0,overcast,993.38,0,Winter,4.0,inland,Snowy
W1337,16.0,74,10.5,25.0,overcast,1010.3,4,Spring,6.5,inland,Cloudy
W12076,57.0,91,37.0,71.0,partly cloudy,992.17,10,Autumn,1.0,coastal,Rainy
W10534,35.0,43,4.5,18.0,clear,1022.08,9,Summer,9.0,mountain,Sunny
W11726,-19.0,77,8.0,20.0,partly cloudy,1136.38,0,Summer,1.0,coastal,Rainy
W5445,-4.0,95,7.5,90.0,partly cloudy,987.38,1,Winter,2.5,mountain,Snowy
W3961,-10.0,96,17.0,82.0,overcast,990.68,1,Winter,2.5,mountain,Snowy
W3500,28.0,92,19.5,78.0,overcast,1017.8,2,Autumn,2.0,coastal,Rainy
W10308,-2.0,49,3.5,76.0,cloudy,1167.69,0,Summer,14.5,inland,Rainy
W10962,27.0,37,5.0,16.0,clear,1016.06,10,Autumn,9.0,inland,Sunny
W2348,33.0,71,11.5,42.0,partly cloudy,1006.67,1,Winter,8.0,coastal,Cloudy
W3367,-7.0,94,36.0,77.0,overcast,987.47,13,Winter,0.5,inland,Snowy
W9090,11.0,69,2.5,42.0,partly cloudy,1008.32,4,Summer,8.0,mountain,Cloudy
W3162,32.0,79,5.0,48.0,overcast,1130.56,13,Summer,16.0,mountain,Sunny
W11340,42.0,57,5.0,1.0,clear,1019.2,9,Spring,7.0,mountain,Sunny
W3530,11.0,63,8.0,91.0,overcast,1008.25,0,Summer,1.5,mountain,Rainy
W9422,43.0,20,1.0,3.0,clear,1011.04,5,Autumn,6.0,mountain,Sunny
W46,22.0,50,0.0,18.0,clear,1016.5,5,Summer,8.0,coastal,Sunny
W10628,36.0,47,7.5,24.0,partly cloudy,1016.26,4,Autumn,3.5,mountain,Snowy
W3767,18.0,77,10.5,27.0,partly cloudy,1006.48,2,Summer,6.0,inland,Cloudy
W4345,39.0,56,9.0,6.0,clear,1026.58,5,Winter,8.5,mountain,Sunny
W3659,15.0,59,15.0,17.0,overcast,1004.33,2,Summer,7.5,mountain,Cloudy
W11185,38.0,58,8.0,19.0,clear,1019.69,6,Spring,7.5,mountain,Sunny
W7231,27.0,52,9.0,18.0,partly cloudy,1000.71,4,Summer,6.0,coastal,Cloudy
W3329,16.0,63,8.0,14.0,partly cloudy,1016.32,1,Summer,5.5,inland,Cloudy
W9247,44.0,40,5.0,11.0,clear,1027.78,11,Spring,7.5,inland,Sunny
W6128,13.0,53,2.5,39.0,overcast,1006.73,1,Winter,8.0,mountain,Cloudy
W4490,26.0,33,3.0,4.0,clear,1028.18,8,Spring,8.5,mountain,Sunny
W13174,15.0,66,8.0,59.0,overcast,1006.99,2,Autumn,5.0,inland,Rainy
W5576,1.0,77,5.0,55.0,overcast,993.03,0,Winter,3.0,inland,Snowy
W12908,44.0,54,2.5,14.0,clear,1015.23,10,Winter,6.5,mountain,Sunny
W2959,107.0,78,8.5,106.0,clear,1024.65,4,Winter,11.0,coastal,Sunny
W2412,-4.0,51,9.5,56.0,overcast,1125.65,13,Winter,14.0,mountain,Cloudy
W6942,-10.0,30,9.5,57.0,cloudy,1156.96,12,Winter,1.5,coastal,Rainy
W472,17.0,63,9.0,10.0,overcast,1011.5,3,Winter,6.5,inland,Cloudy
W6509,17.0,72,16.0,84.0,overcast,998.7,2,Winter,4.5,coastal,Rainy
W1379,2.0,72,12.5,90.0,overcast,998.38,1,Winter,2.5,mountain,Snowy
W11143,26.0,54,8.0,26.0,partly cloudy,1011.49,2,Summer,7.5,inland,Cloudy
W5706,1.0,99,2.5,98.0,partly cloudy,983.39,0,Winter,2.5,inland,Snowy
W4449,4.0,63,0.5,89.0,partly cloudy,994.26,1,Winter,4.5,inland,Snowy
W11441,25.0,54,11.5,48.0,partly cloudy,1012.25,3,Winter,6.0,inland,Cloudy
W7019,20.0,26,4.5,6.0,clear,1015.58,5,Spring,9.5,inland,Sunny
W12283,21.0,59,8.0,19.0,clear,1022.45,6,Autumn,9.5,coastal,Sunny
W8157,34.0,69,12.0,19.0,overcast,1007.67,3,Winter,5.5,mountain,Cloudy
W10138,22.0,89,8.5,98.0,overcast,1017.79,1,Summer,2.5,coastal,Rainy
W6213,28.0,72,10.0,22.0,partly cloudy,1003.85,4,Winter,8.0,inland,Cloudy
W10146,34.0,69,14.5,27.0,overcast,1001.26,1,Winter,5.5,coastal,Cloudy
W2475,-4.0,94,4.0,93.0,overcast,999.99,0,Winter,2.0,mountain,Snowy
W8281,74.0,70,4.0,100.0,clear,1016.37,14,Summer,2.5,coastal,Sunny
W315,31.0,62,6.0,21.0,partly cloudy,1015.8,1,Autumn,5.5,inland,Cloudy
W11666,23.0,62,9.0,18.0,partly cloudy,1003.37,4,Autumn,6.5,mountain,Cloudy
W8228,28.0,28,9.5,5.0,clear,1025.65,5,Summer,9.5,coastal,Sunny
W4765,11.0,53,4.5,35.0,overcast,1003.66,2,Winter,5.0,inland,Cloudy
W2426,15.0,65,6.0,18.0,partly cloudy,1007.69,2,Winter,7.5,mountain,Cloudy
W11521,14.0,64,12.0,45.0,partly cloudy,1000.04,4,Spring,5.5,mountain,Cloudy
W13134,20.0,96,15.0,93.0,partly cloudy,996.28,0,Spring,1.5,inland,Rainy
W1119,20.0,70,10.0,31.0,overcast,1001.78,1,Winter,7.0,coastal,Cloudy
W7225,40.0,45,9.5,16.0,clear,1029.31,11,Spring,6.0,inland,Sunny
W1801,2.0,96,8.5,65.0,partly cloudy,999.35,0,Winter,3.0,mountain,Snowy
W11671,-7.0,79,6.0,93.0,overcast,988.29,1,Winter,3.5,mountain,Snowy
W11365,42.0,62,10.0,13.0,clear,1012.58,11,Summer,6.5,coastal,Sunny
W1159,-7.0,69,18.0,53.0,overcast,992.92,1,Winter,3.5,inland,Snowy
W7251,13.0,67,10.5,66.0,overcast,990.65,3,Spring,2.0,coastal,Rainy
W4496,-3.0,81,12.0,97.0,overcast,996.42,0,Winter,2.0,inland,Snowy
W10906,0.0,85,7.5,90.0,overcast,981.08,12,Winter,4.5,mountain,Snowy
W8492,23.0,66,8.0,18.0,partly cloudy,1017.17,3,Spring,6.0,coastal,Cloudy
W3952,14.0,74,3.0,22.0,overcast,1009.69,1,Spring,5.5,inland,Cloudy
W6564,-10.0,84,14.5,78.0,overcast,990.78,1,Winter,3.5,mountain,Snowy
W1665,1.0,85,4.0,59.0,overcast,983.49,1,Winter,3.5,inland,Snowy
W7197,3.0,65,16.0,63.0,partly cloudy,996.43,1,Winter,4.5,inland,Snowy
W7387,1.0,72,16.0,68.0,partly cloudy,998.3,0,Winter,4.0,mountain,Snowy
W8683,30.0,77,11.5,76.0,partly cloudy,1015.64,1,Autumn,3.0,coastal,Rainy
W8266,44.0,51,10.0,1.0,clear,1023.57,7,Autumn,6.5,coastal,Sunny
W460,-2.0,68,9.0,97.0,overcast,988.46,0,Winter,4.0,mountain,Snowy
W6632,37.0,25,6.5,14.0,clear,1019.93,5,Winter,6.5,mountain,Sunny
W6570,28.0,80,6.0,89.0,overcast,1004.07,0,Autumn,4.5,mountain,Rainy
W4065,39.0,31,6.5,10.0,clear,1021.12,7,Autumn,8.5,mountain,Sunny
W1476,9.0,77,8.5,21.0,overcast,887.74,5,Summer,14.0,mountain,Snowy
W3036,37.0,68,2.0,8.0,partly cloudy,1024.28,5,Winter,8.5,mountain,Sunny
W4206,0.0,87,19.0,79.0,overcast,988.32,0,Winter,4.0,inland,Snowy
W692,31.0,63,17.0,53.0,overcast,1016.02,1,Spring,2.0,coastal,Rainy
W2582,22.0,69,5.5,12.0,partly cloudy,1011.75,2,Autumn,9.0,inland,Cloudy
W2496,-1.0,108,22.0,106.0,overcast,996.16,12,Winter,2.5,mountain,Snowy
W3576,34.0,91,15.5,50.0,overcast,1002.95,1,Winter,4.5,coastal,Rainy
W11623,35.0,107,3.0,74.0,partly cloudy,1018.52,7,Summer,5.5,inland,Cloudy
W7014,35.0,64,3.5,16.0,clear,1018.53,5,Winter,7.5,inland,Sunny
W7283,4.0,88,18.0,63.0,overcast,997.77,1,Winter,4.0,mountain,Snowy
W12285,-1.0,84,6.5,92.0,overcast,993.65,0,Winter,1.0,inland,Snowy
W8858,-7.0,81,5.0,88.0,overcast,985.68,0,Winter,4.0,mountain,Snowy
W6576,13.0,73,13.5,44.0,overcast,1013.0,1,Winter,8.0,inland,Cloudy
W8842,29.0,20,6.5,10.0,partly cloudy,1028.18,11,Summer,5.0,mountain,Sunny
W7413,41.0,48,0.5,19.0,clear,1029.0,10,Summer,8.0,coastal,Sunny
W3158,20.0,60,7.5,13.0,overcast,1006.84,1,Winter,5.0,inland,Cloudy
W5402,15.0,61,5.0,88.0,overcast,1002.34,0,Spring,3.5,mountain,Rainy
W2706,14.0,95,17.5,62.0,partly cloudy,1014.31,2,Winter,5.0,mountain,Rainy
W3281,21.0,56,13.0,19.0,overcast,1017.64,1,Autumn,6.0,mountain,Cloudy
W12585,21.0,65,19.0,55.0,partly cloudy,1013.7,0,Autumn,4.0,mountain,Rainy
W7010,44.0,68,2.5,11.0,clear,1025.66,5,Autumn,8.5,inland,Sunny
W2123,29.0,50,12.5,34.0,overcast,1013.72,2,Autumn,8.5,coastal,Cloudy
W6891,19.0,64,6.0,46.0,overcast,1001.14,3,Winter,6.0,mountain,Cloudy
W3114,29.0,78,20.0,84.0,partly cloudy,1005.19,14,Spring,5.5,inland,Cloudy
W7535,10.0,70,12.0,48.0,overcast,1015.17,3,Autumn,6.0,inland,Cloudy
W11584,-9.0,69,16.5,88.0,overcast,998.8,1,Winter,2.0,mountain,Snowy
W3221,32.0,93,9.5,80.0,partly cloudy,1019.7,0,Autumn,3.5,inland,Rainy
W12311,15.0,68,9.0,89.0,overcast,1006.18,3,Autumn,3.5,coastal,Rainy
W1522,-2.0,65,8.0,51.0,partly cloudy,982.0,1,Winter,4.5,inland,Snowy
W1249,16.0,64,2.0,48.0,overcast,1000.6,1,Spring,6.5,coastal,Cloudy
W6415,41.0,71,11.0,31.0,cloudy,947.36,2,Summer,8.0,inland,Sunny
W9176,52.0,71,5.5,84.0,clear,1024.3,0,Autumn,14.0,coastal,Sunny
W1515,20.0,89,18.0,68.0,overcast,1019.78,2,Autumn,4.5,coastal,Rainy
W5390,34.0,44,7.0,13.0,clear,1013.91,10,Autumn,9.0,mountain,Sunny
W9511,31.0,66,9.0,71.0,partly cloudy,1006.12,1,Autumn,4.0,mountain,Rainy
W13132,1.0,93,12.5,98.0,overcast,988.78,0,Winter,4.0,inland,Snowy
W7450,20.0,47,10.0,12.0,clear,1022.14,8,Summer,9.0,coastal,Sunny
W6795,36.0,64,7.5,6.0,clear,1010.63,6,Spring,8.0,inland,Sunny
W3833,26.0,70,13.5,48.0,overcast,1015.07,3,Autumn,8.5,coastal,Cloudy
W5443,26.0,56,7.0,1.0,partly cloudy,1023.9,8,Autumn,8.5,coastal,Sunny
