CreditScore,Geography,Gender,Age,Tenure,Balance,NumOfProducts,HasCrCard,IsActiveMember,EstimatedSalary,Exited,Complain,Satisfaction Score,Card Type,Point Earned
615,Spain,Male,59,4,155766.05,1,1,1,110275.17,0,0,1,DIAMOND,306
440,France,Male,42,2,0.0,2,1,0,49826.68,0,0,4,PLATINUM,260
755,France,Male,30,4,123217.66,2,0,1,144183.1,0,0,3,GOLD,786
678,Spain,Female,40,3,128398.38,1,1,0,168658.3,0,0,3,DIAMOND,893
721,France,Female,35,6,118273.83,1,0,1,3086.89,0,0,3,GOLD,804
662,France,Female,39,5,138106.75,1,0,0,19596.73,0,0,2,PLATINUM,847
647,Germany,Female,43,3,122717.53,2,1,1,87000.39,0,0,2,PLATINUM,323
725,France,Female,44,10,0.0,1,0,1,93777.61,0,0,5,SILVER,696
570,Germany,Female,57,5,86568.75,1,0,1,103660.31,0,0,5,SILVER,307
660,France,Male,38,4,0.0,2,0,0,88080.43,0,0,3,GOLD,490
716,France,Male,31,8,109578.04,2,1,1,51503.51,0,0,1,DIAMOND,393
702,Spain,Female,35,8,14262.8,2,1,0,54689.16,0,0,3,SILVER,372
714,Spain,Male,33,8,122017.19,1,0,0,162515.17,0,0,5,DIAMOND,504
613,Germany,Male,33,3,155736.42,2,1,1,57751.21,0,0,4,PLATINUM,633
586,Germany,Female,56,9,100781.75,2,1,1,54448.41,0,0,3,PLATINUM,877
590,Germany,Female,40,2,117641.43,2,0,0,92198.05,0,0,5,DIAMOND,574
447,France,Female,32,10,0.0,1,1,1,151815.76,0,0,4,GOLD,600
770,France,Male,24,9,101827.07,1,1,0,167256.35,0,0,4,GOLD,730
541,France,Male,36,5,0.0,2,1,0,124795.84,0,0,2,PLATINUM,920
750,Spain,Female,38,7,97257.41,2,0,1,179883.04,0,0,3,DIAMOND,324
605,France,Female,28,6,0.0,2,0,0,159508.52,0,0,1,DIAMOND,468
607,Spain,Male,28,1,135936.1,2,1,1,110560.14,0,0,2,SILVER,571
833,Germany,Male,29,1,96462.25,2,0,1,48986.18,0,0,4,PLATINUM,298
542,France,Male,34,8,101116.06,1,1,0,196395.05,0,0,4,SILVER,987
636,France,Female,38,1,0.0,1,1,0,45015.38,0,0,3,DIAMOND,360
595,France,Female,33,9,0.0,2,1,1,41447.86,0,0,5,PLATINUM,706
656,France,Female,46,5,113402.14,2,1,1,138849.06,0,0,4,SILVER,605
439,France,Male,28,7,110976.23,2,1,0,138526.96,0,0,4,PLATINUM,566
531,Spain,Female,42,6,75302.85,2,0,0,57034.35,0,0,1,PLATINUM,505
768,France,Male,42,5,0.0,3,0,0,60686.4,0,0,1,DIAMOND,265
534,France,Male,27,9,0.0,2,1,0,161344.13,0,0,2,PLATINUM,925
685,Spain,Male,34,6,83264.28,1,0,0,9663.28,0,0,5,GOLD,449
687,France,Female,47,7,0.0,2,1,1,177624.01,0,0,1,DIAMOND,517
520,Germany,Female,23,3,116022.53,2,1,1,37577.66,0,0,1,GOLD,342
581,France,Male,41,8,0.0,2,0,0,29737.14,0,0,3,GOLD,927
608,Spain,Female,35,6,0.0,2,1,1,143463.28,0,0,4,DIAMOND,253
669,France,Female,29,7,146011.4,1,0,0,50249.16,0,0,1,DIAMOND,381
555,Spain,Male,32,10,0.0,2,0,1,168605.96,0,0,4,GOLD,606
535,Germany,Male,20,9,134874.4,1,1,1,118825.56,0,0,2,GOLD,640
593,Germany,Female,38,4,129499.42,1,1,1,154071.27,0,0,5,SILVER,337
655,Germany,Female,72,5,138089.97,2,1,1,99920.41,0,0,3,GOLD,766
769,Germany,Male,27,7,188614.07,1,1,0,171344.09,0,0,1,GOLD,883
757,France,Male,29,8,130306.49,1,1,0,77469.38,0,0,1,GOLD,889
706,Germany,Male,34,0,140641.26,2,1,1,77271.91,0,0,3,GOLD,288
583,Germany,Male,35,8,149995.72,2,1,0,42143.55,0,0,1,PLATINUM,540
717,France,Male,50,9,90305.76,1,1,1,124626.57,0,0,3,GOLD,404
682,Germany,Male,24,9,57929.81,2,0,0,53134.3,0,0,5,SILVER,643
602,Germany,Male,32,7,184715.86,2,1,0,113781.99,0,0,5,GOLD,879
666,France,Male,40,5,0.0,2,1,0,147878.05,0,0,2,PLATINUM,608
435,Germany,Male,32,2,57017.06,2,1,1,5907.11,0,0,3,SILVER,476
607,Spain,Male,40,1,112544.45,1,1,1,19842.22,0,0,3,GOLD,538
792,Germany,Male,36,5,115725.24,2,0,0,1871.25,0,0,5,DIAMOND,515
589,France,Male,46,9,0.0,2,1,0,170676.67,0,0,1,GOLD,449
604,Spain,Male,41,3,0.0,1,0,0,11819.84,0,0,4,PLATINUM,536
776,Germany,Female,37,2,103769.22,2,1,0,194099.12,0,0,1,SILVER,268
648,Germany,Male,34,3,95039.73,2,1,1,147055.87,0,0,3,DIAMOND,681
593,France,Male,33,1,0.0,2,0,0,9984.4,0,0,4,DIAMOND,357
670,Germany,Female,42,5,49508.79,3,1,1,100324.01,0,0,4,PLATINUM,229
582,France,Male,52,2,151457.88,1,0,1,40893.61,0,0,5,DIAMOND,889
475,France,Female,57,1,0.0,2,1,0,89248.99,0,0,2,GOLD,372
666,France,Male,46,5,123873.19,1,1,1,177844.06,0,0,2,PLATINUM,742
677,Germany,Female,41,8,146720.98,2,1,1,4195.84,0,0,3,DIAMOND,562
573,Spain,Male,28,8,0.0,2,0,0,77660.03,0,0,4,PLATINUM,668
777,France,Male,36,7,0.0,1,1,0,106472.34,0,0,2,SILVER,537
681,France,Male,29,8,0.0,1,1,0,66367.33,0,0,2,GOLD,479
623,Spain,Female,50,2,87116.71,1,1,1,104382.11,0,0,5,SILVER,970
557,France,Male,33,3,54503.55,1,1,1,371.05,0,0,5,SILVER,362
623,France,Male,48,5,118469.38,1,1,1,158590.25,0,0,4,PLATINUM,346
713,France,Male,41,3,0.0,2,1,0,55772.04,0,0,3,PLATINUM,443
588,France,Male,40,5,0.0,2,0,0,100727.68,0,0,1,GOLD,394
580,Germany,Male,39,3,119688.81,1,1,0,137041.26,0,0,4,DIAMOND,804
725,France,Male,46,6,0.0,2,1,0,161767.38,0,0,2,GOLD,393
561,France,Male,32,5,0.0,2,1,0,84871.99,0,0,4,SILVER,332
596,Spain,Female,30,1,0.0,2,1,0,8125.39,0,0,1,DIAMOND,951
823,France,Female,44,1,0.0,2,0,1,182495.7,0,0,2,SILVER,639
637,France,Male,41,2,0.0,2,0,1,102515.42,0,0,4,GOLD,325
604,Spain,Female,34,3,0.0,2,1,0,38587.7,0,0,1,DIAMOND,407
828,France,Male,34,8,129433.34,2,0,0,38131.77,0,0,4,SILVER,370
644,France,Male,30,5,44928.88,1,1,1,10771.46,0,0,4,PLATINUM,528
649,France,Male,39,3,113096.41,1,1,1,60335.24,0,0,5,PLATINUM,946
569,Germany,Female,32,8,145330.43,1,1,1,132038.65,0,0,2,PLATINUM,379
624,Germany,Female,40,3,149961.99,2,1,0,104610.86,0,0,2,PLATINUM,576
596,Spain,Male,41,5,0.0,2,0,1,141053.85,0,0,4,SILVER,906
655,Spain,Female,36,1,135515.76,1,1,0,86013.96,0,0,4,DIAMOND,779
814,Germany,Male,44,8,95488.82,2,0,0,107013.59,0,0,4,DIAMOND,474
642,France,Male,26,0,0.0,1,0,0,47472.68,0,0,5,SILVER,616
670,Spain,Male,42,3,81589.04,1,1,0,188227.8,0,0,2,GOLD,984
712,France,Male,29,3,102540.61,1,1,1,189680.79,0,0,1,PLATINUM,415
536,France,Female,22,5,89492.62,1,0,0,42934.43,0,0,2,DIAMOND,231
686,France,Female,44,7,55053.62,1,1,0,181757.19,0,0,3,DIAMOND,495
466,France,Female,30,3,0.0,1,1,0,193984.6,0,0,2,PLATINUM,671
850,Germany,Male,39,3,124548.99,2,1,1,120380.12,0,0,2,DIAMOND,243
738,Spain,Male,38,5,177997.07,1,0,1,19233.41,0,0,5,PLATINUM,799
788,France,Female,39,3,135139.33,1,0,1,113086.08,0,0,1,SILVER,444
579,France,Female,33,1,118392.75,1,1,1,157564.75,0,0,1,DIAMOND,793
719,Spain,Female,33,7,0.0,2,1,0,20016.59,0,0,5,GOLD,282
429,France,Male,24,4,95741.75,1,1,0,46170.75,0,0,2,GOLD,352
782,France,Male,33,7,191523.09,1,1,1,167058.75,0,0,4,DIAMOND,763
615,France,Male,41,4,130385.82,1,0,1,130661.95,0,0,2,SILVER,448
782,France,Female,33,2,94493.03,1,0,1,101866.39,0,0,3,PLATINUM,324
806,Germany,Male,34,2,96152.68,2,1,0,143711.02,0,0,2,GOLD,303
652,Germany,Female,26,1,131908.35,1,1,1,179269.79,0,0,1,PLATINUM,343
754,France,Male,34,7,0.0,2,1,1,65219.85,0,0,3,GOLD,467
816,Germany,Female,25,2,150355.35,2,1,1,35770.84,0,0,5,GOLD,402
628,France,Female,38,3,0.0,2,1,1,48924.73,0,0,3,GOLD,914
850,France,Male,19,8,0.0,1,1,1,68569.89,0,0,3,GOLD,615
728,Germany,Male,32,5,61825.5,1,1,1,156124.93,0,0,5,GOLD,433
507,Germany,Male,31,9,111589.67,1,1,0,150037.19,0,0,2,PLATINUM,473
658,France,Female,39,4,0.0,1,1,1,147530.06,0,0,3,GOLD,745
601,Germany,Female,54,1,131039.97,2,1,1,199661.5,0,0,1,DIAMOND,929
752,France,Male,49,2,78653.84,1,1,0,7698.6,0,0,2,SILVER,989
635,Spain,Male,46,8,0.0,2,1,1,60739.16,0,0,1,GOLD,635
501,France,Male,57,10,0.0,2,1,1,47847.19,0,0,5,PLATINUM,374
591,France,Female,39,4,150500.64,1,1,0,14928.8,0,0,1,DIAMOND,733
538,Spain,Female,42,9,0.0,1,0,0,152855.96,0,0,4,SILVER,641
578,France,Female,40,7,0.0,2,0,0,102233.73,0,0,4,GOLD,924
637,France,Female,41,9,0.0,2,1,0,145477.36,0,0,5,GOLD,624
745,France,Male,35,9,92566.53,2,1,0,161519.77,0,0,4,SILVER,742
584,France,Female,35,2,114321.28,2,0,0,15959.01,0,0,3,DIAMOND,855
743,Spain,Male,25,6,0.0,2,1,0,129740.11,0,0,2,GOLD,748
719,France,Female,22,7,114415.84,1,1,1,177497.4,0,0,2,GOLD,739
783,Germany,Female,42,2,139707.28,1,1,0,2150.22,0,0,2,GOLD,501
464,Germany,Female,42,3,85679.25,1,1,1,164104.74,0,0,3,SILVER,665
614,France,Male,51,3,0.0,2,1,1,5552.37,0,0,4,GOLD,705
452,France,Female,32,5,0.0,2,0,1,75279.39,0,0,1,GOLD,923
796,Spain,Male,67,5,0.0,2,0,1,54871.02,0,0,3,GOLD,726
648,France,Female,44,2,0.0,2,1,1,58652.23,0,0,5,DIAMOND,708
463,Spain,Male,20,8,204223.03,1,1,0,128268.39,0,0,2,SILVER,983
582,Spain,Male,26,4,65848.36,2,1,0,30149.21,0,0,1,SILVER,518
567,Spain,Female,45,1,157320.51,1,1,0,62193.92,0,0,4,PLATINUM,630
585,France,Female,28,6,105795.9,1,1,1,41219.09,0,0,2,PLATINUM,446
639,France,Male,32,9,0.0,2,1,0,111340.36,0,0,4,GOLD,846
660,Germany,Male,26,4,115021.76,1,0,1,162443.05,0,0,1,GOLD,573
850,France,Female,27,7,43658.33,2,1,1,3025.49,0,0,4,PLATINUM,585
695,France,Female,31,5,106089.2,1,0,0,99537.68,0,0,4,GOLD,324
714,Germany,Male,26,3,119545.48,2,1,0,65482.94,0,0,3,PLATINUM,276
477,France,Male,27,1,128554.98,1,1,1,133173.19,0,0,1,PLATINUM,248
669,France,Female,43,1,160474.59,1,1,1,95963.14,0,0,3,DIAMOND,946
724,France,Female,34,3,132352.69,1,1,0,80320.3,0,0,4,DIAMOND,798
818,Germany,Female,72,8,135290.42,2,1,1,63729.72,0,0,1,SILVER,726
656,Spain,Male,32,5,136963.12,1,1,0,133814.28,0,0,1,GOLD,995
705,France,Female,39,3,92224.56,1,1,1,54517.25,0,0,2,GOLD,453
586,France,Male,51,2,138553.57,1,1,1,92406.22,0,0,4,DIAMOND,832
774,France,Male,76,4,112510.89,1,1,1,143133.18,0,0,3,DIAMOND,914
707,France,Male,37,1,0.0,2,0,1,6035.51,0,0,2,GOLD,788
647,Germany,Female,22,3,97975.82,2,0,1,62083.0,0,0,5,DIAMOND,299
564,Germany,Female,30,0,100954.88,2,0,0,134175.15,0,0,1,PLATINUM,747
660,Germany,Female,29,6,180520.29,1,1,1,123850.58,0,0,2,SILVER,988
583,France,Male,24,9,135125.28,1,0,0,89801.9,0,0,5,SILVER,304
817,France,Female,37,6,81070.34,2,1,0,80985.88,0,0,5,PLATINUM,518
766,France,Female,52,7,92510.9,2,0,1,66193.61,0,0,5,DIAMOND,839
850,Spain,Female,38,3,0.0,2,0,1,179360.76,0,0,2,DIAMOND,729
718,Germany,Male,63,7,123204.88,1,1,1,100538.8,0,0,1,SILVER,831
716,France,Male,39,1,70657.61,2,1,1,76476.05,0,0,3,GOLD,421
681,Spain,Male,38,2,99811.44,2,1,0,23531.5,0,0,1,DIAMOND,568
809,France,Male,43,2,0.0,2,1,1,132908.07,0,0,1,PLATINUM,706
757,Spain,Male,44,5,140856.16,2,1,0,158735.1,0,0,5,DIAMOND,293
444,France,Male,34,2,144318.97,1,1,0,112668.06,0,0,4,SILVER,310
729,Germany,Female,42,4,97495.8,2,0,0,2002.5,0,0,3,GOLD,583
725,Spain,Female,32,0,0.0,2,1,1,138525.19,0,0,2,PLATINUM,823
545,Spain,Female,33,7,173331.52,1,1,0,150452.88,0,0,4,DIAMOND,716
577,France,Female,30,8,92472.1,2,0,1,126434.61,0,0,4,SILVER,569
602,Spain,Male,37,3,107592.89,2,0,1,153122.73,0,0,3,GOLD,493
647,France,Male,32,5,97041.16,1,1,1,23132.73,0,0,1,GOLD,596
516,France,Male,46,2,0.0,2,1,1,169122.54,0,0,4,GOLD,786
630,Germany,Female,25,7,79656.81,1,1,0,93524.22,0,0,4,PLATINUM,784
670,France,Female,42,1,115961.58,2,0,1,29483.87,0,0,4,DIAMOND,795
619,France,Female,38,3,0.0,2,0,1,116467.35,0,0,1,PLATINUM,348
607,France,Male,26,1,0.0,1,1,0,29818.2,0,0,2,GOLD,543
737,Germany,Female,40,2,162485.8,2,1,0,149381.32,0,0,2,SILVER,449
625,France,Male,43,4,122351.29,1,1,0,71216.6,0,0,4,GOLD,936
620,France,Male,28,8,0.0,2,1,1,199909.32,0,0,4,SILVER,933
