EmpID,Age,JobLevel,Dept,WorkEnv,PhysicalActivityHours,Stress,SleepHours,CommuteMode,CommuteDistance,JobSatisfaction
1904,43.0,Senior,Finance,5,4.0,3.0,5.3,Motorbike,22.0,1.0
2076,39.0,Mid,Marketing,2,1.1,2.0,7.2,Car,7.0,4.0
568,24.0,Junior,Finance,2,3.2,1.0,9.0,Car,24.0,5.0
206,37.0,Senior,Sales,3,2.6,2.0,8.2,Public Transport,5.0,5.0
2703,24.0,Junior,Sales,4,3.5,2.0,6.5,Motorbike,22.0,4.0
372,22.0,Intern/Fresher,IT,2,0.6,1.0,6.2,Public Transport,11.0,4.0
886,38.0,Senior,Legal,4,2.5,1.0,8.6,Car,24.0,3.0
1095,44.0,Lead,Sales,5,1.0,1.0,7.2,Car,26.0,2.0
2181,30.0,,,1,4.4,1.0,,,,4.0
2009,58.0,Senior,Legal,3,1.9,3.0,4.9,Car,28.0,4.0
1892,30.0,Senior,Operations,1,1.4,1.0,6.2,Public Transport,27.0,1.0
809,38.0,Senior,IT,3,2.8,2.0,7.6,Car,14.0,3.0
550,27.0,Junior,Finance,5,2.6,2.0,8.0,Car,6.0,4.0
2357,47.0,Senior,Marketing,3,1.9,1.0,7.2,Bike,8.0,4.0
552,38.0,,,3,4.1,1.0,8.1,,6.0,4.0
2937,36.0,Senior,Customer Service,1,3.7,2.0,5.4,Car,15.0,3.0
2933,40.0,Senior,IT,5,1.5,1.0,8.1,Car,21.0,5.0
1811,40.0,Mid,Finance,1,2.8,1.0,7.0,Motorbike,22.0,4.0
2285,38.0,Senior,Operations,4,2.6,2.0,7.4,Walk,2.0,4.0
2062,53.0,Lead,Operations,5,0.9,2.0,7.3,Bike,1.0,4.0
1942,40.0,Lead,Marketing,2,2.9,1.0,7.9,Car,11.0,4.0
2351,35.0,Senior,Marketing,5,2.6,2.0,5.8,Car,16.0,5.0
2675,38.0,Mid,Customer Service,3,2.2,1.0,7.5,Public Transport,12.0,4.0
999,34.0,Mid,IT,5,2.1,1.0,6.7,Car,10.0,3.0
105,49.0,Senior,Operations,1,0.2,1.0,7.1,Bike,6.0,5.0
847,39.0,Mid,Finance,4,2.0,1.0,6.9,Car,5.0,3.0
2017,40.0,Mid,Operations,2,1.8,1.0,6.6,Motorbike,10.0,4.0
1441,38.0,Mid,IT,2,3.2,4.0,6.8,Walk,1.0,1.0
2227,27.0,Mid,Operations,1,1.4,1.0,6.5,Car,8.0,4.0
518,34.0,Senior,HR,3,0.2,1.0,7.4,Car,8.0,3.0
1759,35.0,Mid,HR,1,3.8,2.0,6.3,Car,27.0,4.0
1932,53.0,,,1,,1.0,,,,1.0
2167,35.0,Mid,Marketing,3,2.4,1.0,8.7,Motorbike,3.0,5.0
13,24.0,Junior,Finance,1,2.9,1.0,7.0,Car,12.0,4.0
1571,37.0,Mid,Finance,3,1.5,4.0,6.8,Car,14.0,4.0
878,47.0,Mid,Sales,4,0.4,1.0,7.6,Car,22.0,3.0
266,22.0,Intern/Fresher,Legal,1,0.4,3.0,6.7,Public Transport,22.0,4.0
2445,25.0,Mid,IT,2,2.3,1.0,7.0,Bike,2.0,4.0
529,50.0,Lead,Operations,5,1.2,2.0,7.6,Car,11.0,4.0
1072,33.0,Mid,Legal,5,1.2,3.0,6.5,Motorbike,5.0,3.0
897,48.0,,,3,1.5,1.0,9.1,,5.0,5.0
2139,48.0,Lead,Finance,4,3.2,1.0,9.4,Public Transport,14.0,5.0
1234,24.0,Mid,IT,1,2.5,1.0,6.5,Car,8.0,1.0
1755,43.0,Mid,Marketing,4,2.0,1.0,5.3,Car,9.0,4.0
833,54.0,Lead,IT,2,1.7,3.0,5.4,Car,14.0,1.0
519,24.0,Junior,Finance,2,1.8,1.0,8.4,Car,16.0,4.0
2788,47.0,Mid,Finance,2,2.0,2.0,6.1,Car,19.0,5.0
2386,46.0,Senior,Finance,1,2.4,1.0,6.3,Car,12.0,3.0
2832,24.0,Mid,IT,2,2.6,1.0,6.8,Car,29.0,5.0
2073,47.0,Senior,IT,4,3.0,1.0,6.4,Walk,2.0,5.0
976,28.0,Junior,Operations,2,2.0,1.0,7.7,Public Transport,23.0,1.0
3009,50.0,Lead,IT,5,2.6,1.0,4.8,Car,24.0,5.0
1457,24.0,Junior,Sales,5,1.0,2.0,7.2,Public Transport,16.0,2.0
2718,33.0,Mid,IT,2,1.8,1.0,6.9,Car,28.0,4.0
2419,50.0,Senior,IT,2,1.8,3.0,5.6,Public Transport,9.0,3.0
1643,23.0,Intern/Fresher,IT,5,1.5,1.0,6.5,Car,8.0,4.0
262,52.0,Lead,Finance,3,2.7,4.0,7.2,Car,20.0,4.0
2337,35.0,Senior,Finance,1,1.7,1.0,7.1,Public Transport,17.0,4.0
1968,28.0,Junior,Operations,3,0.4,1.0,7.4,Car,16.0,4.0
2199,53.0,Lead,Legal,5,1.3,1.0,6.2,Public Transport,23.0,4.0
1683,47.0,Mid,Finance,4,1.2,3.0,7.3,Motorbike,11.0,4.0
1893,29.0,Junior,IT,5,1.3,1.0,5.4,Public Transport,13.0,4.0
1741,28.0,Junior,IT,3,2.7,2.0,6.6,Public Transport,11.0,1.0
1587,39.0,Mid,Finance,2,2.5,3.0,6.9,Bike,3.0,1.0
2397,44.0,Senior,Marketing,2,1.2,1.0,6.0,Public Transport,21.0,3.0
1796,25.0,Junior,IT,3,0.0,1.0,9.1,Bike,5.0,4.0
2685,30.0,Senior,Finance,1,3.2,1.0,8.1,Motorbike,13.0,4.0
2234,48.0,Mid,IT,2,0.2,1.0,7.0,Car,19.0,3.0
415,22.0,Intern/Fresher,Operations,2,2.9,2.0,6.8,Car,14.0,4.0
2144,24.0,Junior,Operations,2,0.8,1.0,6.8,Car,12.0,4.0
569,31.0,Senior,Finance,3,0.6,1.0,7.8,Car,23.0,5.0
2235,45.0,Mid,Finance,2,2.1,2.0,6.8,Public Transport,9.0,4.0
2821,,,,4,,,,,,
2050,22.0,Junior,IT,2,1.2,2.0,5.3,Walk,1.0,4.0
1737,30.0,Senior,Legal,4,0.4,1.0,8.3,Public Transport,17.0,5.0
3004,46.0,Senior,Legal,4,0.1,1.0,6.6,Motorbike,5.0,5.0
648,24.0,Junior,Marketing,4,3.2,3.0,8.4,Bike,9.0,4.0
1793,23.0,,,3,,4.0,,,,4.0
1629,36.0,Mid,Finance,4,2.5,3.0,8.0,Motorbike,6.0,1.0
1135,23.0,Junior,IT,3,3.1,2.0,7.4,Public Transport,18.0,2.0
1405,32.0,Senior,Legal,4,1.1,3.0,7.7,Motorbike,11.0,2.0
2992,23.0,Junior,Marketing,2,0.2,4.0,6.3,Public Transport,25.0,4.0
167,39.0,,Legal,2,2.6,1.0,6.6,,1.0,5.0
3018,41.0,Mid,HR,4,2.0,2.0,7.3,Walk,2.0,5.0
1623,38.0,Senior,Finance,3,0.7,4.0,7.2,Public Transport,25.0,4.0
2249,54.0,Lead,Finance,3,2.9,1.0,7.9,Public Transport,16.0,4.0
42,36.0,Mid,Finance,3,2.9,4.0,8.0,Public Transport,9.0,5.0
1756,24.0,Mid,IT,1,2.3,1.0,8.4,Car,19.0,4.0
2116,49.0,Mid,Finance,2,3.8,1.0,9.9,Public Transport,24.0,4.0
2468,29.0,Junior,Sales,3,1.4,1.0,6.4,Car,8.0,4.0
363,26.0,,Sales,2,2.1,2.0,6.6,,16.0,4.0
1093,25.0,Junior,IT,3,2.0,1.0,5.6,Car,23.0,1.0
1177,23.0,Intern/Fresher,IT,1,1.6,4.0,7.4,Car,15.0,1.0
1857,50.0,Lead,Finance,3,2.9,3.0,5.1,Car,18.0,1.0
163,30.0,Senior,IT,3,0.9,3.0,7.2,Car,28.0,5.0
2811,50.0,Lead,Finance,1,1.4,3.0,7.2,Public Transport,11.0,5.0
422,22.0,Junior,Finance,3,1.6,1.0,9.1,Walk,1.0,5.0
677,31.0,Mid,Operations,4,1.8,1.0,5.3,Motorbike,9.0,4.0
1426,22.0,Intern/Fresher,IT,1,2.6,1.0,5.6,Public Transport,16.0,1.0
831,41.0,Senior,Operations,1,3.2,3.0,6.9,Public Transport,12.0,1.0
1309,59.0,Senior,IT,3,0.8,1.0,5.8,Car,12.0,2.0
103,60.0,Lead,Finance,5,0.9,3.0,6.9,Public Transport,26.0,5.0
2429,45.0,Mid,Legal,2,2.3,1.0,6.9,Motorbike,3.0,4.0
1798,39.0,Mid,IT,4,2.9,1.0,8.0,Car,14.0,4.0
452,25.0,Senior,IT,4,0.7,2.0,5.4,Motorbike,24.0,4.0
1474,34.0,Senior,IT,5,1.8,1.0,7.5,Motorbike,24.0,4.0
885,47.0,Lead,Sales,3,1.4,2.0,8.0,Bike,8.0,3.0
1102,22.0,Junior,IT,1,0.6,1.0,6.3,Public Transport,8.0,1.0
2865,24.0,,,5,2.7,1.0,,,,5.0
2206,37.0,Senior,Finance,1,2.7,1.0,7.6,Car,18.0,4.0
313,23.0,Junior,IT,1,2.2,4.0,7.1,Public Transport,29.0,2.0
2676,23.0,,Operations,1,1.8,1.0,7.6,,15.0,4.0
2788,47.0,Mid,Finance,2,2.0,2.0,6.1,Car,19.0,5.0
2045,40.0,Mid,Finance,4,4.0,1.0,7.0,Walk,2.0,4.0
66,40.0,Mid,IT,2,3.3,2.0,8.5,Public Transport,7.0,5.0
489,28.0,Junior,Finance,1,1.9,1.0,7.8,Car,6.0,4.0
1423,33.0,,IT,4,0.1,4.0,7.0,,9.0,2.0
1606,23.0,Intern/Fresher,Finance,3,2.1,1.0,8.3,Public Transport,25.0,4.0
2129,23.0,Intern/Fresher,Legal,2,2.1,3.0,7.9,Motorbike,19.0,4.0
2867,33.0,Mid,Operations,4,1.4,1.0,7.3,Car,20.0,5.0
208,40.0,Senior,Sales,5,0.7,1.0,7.7,Car,5.0,4.0
2694,24.0,,IT,5,2.9,3.0,9.2,,14.0,4.0
2623,22.0,,IT,5,2.7,1.0,6.9,,8.0,4.0
2022,31.0,Senior,Finance,5,1.2,1.0,6.4,Car,8.0,5.0
2796,31.0,Mid,IT,5,3.3,1.0,5.2,Bike,4.0,5.0
911,52.0,Lead,IT,3,2.0,3.0,6.8,Public Transport,24.0,1.0
1413,33.0,Senior,IT,5,1.4,4.0,6.7,Car,21.0,1.0
94,26.0,Junior,Operations,1,1.2,1.0,6.6,Public Transport,22.0,5.0
2995,40.0,Senior,Legal,4,1.6,1.0,7.5,Car,26.0,5.0
291,34.0,Mid,Marketing,2,2.1,3.0,8.7,Car,17.0,4.0
2622,36.0,,,3,0.0,2.0,9.5,,12.0,4.0
494,23.0,Intern/Fresher,Operations,1,1.1,2.0,7.4,Walk,1.0,4.0
2572,32.0,,Operations,5,0.5,2.0,8.6,Walk,1.0,4.0
330,53.0,Lead,Legal,4,3.3,4.0,7.8,Car,21.0,4.0
2074,38.0,Senior,Finance,5,0.7,1.0,9.0,Bike,8.0,5.0
862,32.0,Senior,Operations,3,0.1,1.0,8.2,Car,24.0,3.0
1116,31.0,Senior,Customer Service,4,3.2,5.0,6.1,Bike,9.0,2.0
1346,28.0,Junior,IT,4,1.7,1.0,7.0,Walk,2.0,2.0
2328,30.0,Mid,IT,4,2.8,1.0,5.5,Public Transport,28.0,3.0
1583,29.0,Junior,Operations,3,1.1,1.0,9.2,Car,6.0,4.0
2185,28.0,Junior,Finance,4,2.1,1.0,6.0,Public Transport,13.0,4.0
1046,,,,3,,3.0,,,,
2427,23.0,Junior,Operations,4,2.6,3.0,6.8,Bike,1.0,4.0
2564,51.0,Lead,IT,4,1.7,2.0,6.8,Public Transport,24.0,4.0
2494,28.0,Junior,Finance,1,0.9,1.0,8.0,Car,10.0,4.0
1813,54.0,Lead,Customer Service,3,2.3,1.0,6.2,Public Transport,16.0,4.0
578,46.0,Mid,Operations,4,1.4,1.0,6.5,Public Transport,22.0,4.0
1551,23.0,Intern/Fresher,Marketing,1,0.8,1.0,7.5,Public Transport,11.0,1.0
2775,42.0,Mid,Sales,5,1.1,1.0,9.2,Public Transport,11.0,4.0
1613,54.0,Senior,Operations,4,1.0,2.0,5.9,Public Transport,16.0,4.0
899,35.0,Senior,IT,2,2.3,1.0,8.0,Car,19.0,3.0
2048,25.0,Junior,Operations,4,2.1,4.0,5.8,Car,11.0,4.0
1783,44.0,Mid,Operations,4,1.4,1.0,5.3,Bike,7.0,4.0
2823,39.0,Senior,Marketing,2,1.5,1.0,4.9,Public Transport,27.0,5.0
2902,24.0,Mid,IT,5,2.7,1.0,6.5,Public Transport,25.0,5.0
2786,31.0,Senior,Sales,4,1.7,1.0,6.9,Public Transport,23.0,5.0
438,46.0,Lead,HR,4,1.9,1.0,7.9,Car,21.0,4.0
439,60.0,Senior,Finance,5,1.7,2.0,5.9,Motorbike,14.0,4.0
2972,27.0,Mid,Operations,2,2.3,3.0,8.4,Public Transport,10.0,3.0
1802,50.0,Lead,IT,5,2.3,2.0,7.1,Car,11.0,4.0
679,24.0,Senior,Sales,5,3.4,1.0,5.9,Car,24.0,3.0
2709,53.0,Lead,Sales,5,1.5,1.0,6.6,Public Transport,17.0,4.0
1090,33.0,Senior,Legal,1,1.0,1.0,6.5,Public Transport,6.0,1.0
1841,26.0,Mid,Legal,1,3.6,2.0,7.8,Motorbike,18.0,4.0
1864,45.0,Lead,IT,1,3.1,3.0,8.0,Car,7.0,4.0
1649,40.0,Mid,IT,5,2.7,2.0,7.6,Public Transport,12.0,4.0
511,38.0,Senior,Legal,5,1.1,3.0,8.1,Bike,4.0,4.0
856,38.0,,Operations,4,2.4,1.0,5.2,,13.0,3.0
1782,22.0,Intern/Fresher,HR,3,2.1,5.0,8.2,Car,5.0,1.0
1059,53.0,Lead,Operations,1,0.9,1.0,6.9,Car,15.0,3.0
1041,36.0,Senior,Legal,2,0.5,2.0,8.3,Public Transport,14.0,3.0
1190,34.0,Senior,IT,3,2.7,1.0,6.0,Public Transport,18.0,1.0
905,25.0,Junior,Finance,5,0.9,1.0,7.4,Walk,1.0,5.0
993,41.0,Mid,Customer Service,4,3.2,3.0,7.0,Bike,6.0,3.0
2579,36.0,Mid,HR,3,2.0,3.0,4.9,Car,12.0,4.0
1114,29.0,Junior,Legal,4,3.6,1.0,6.6,Public Transport,5.0,2.0
2344,37.0,,Finance,2,2.2,3.0,7.7,Public Transport,24.0,4.0
1930,22.0,,,2,2.9,5.0,6.1,,10.0,1.0
217,34.0,,,5,2.4,1.0,5.4,,3.0,4.0
248,58.0,Senior,Operations,3,1.2,1.0,7.5,Motorbike,15.0,4.0
1298,52.0,Lead,Marketing,3,3.6,2.0,6.5,Public Transport,11.0,2.0
2893,31.0,Mid,IT,4,1.0,5.0,6.4,Public Transport,14.0,3.0
1237,28.0,Mid,HR,1,2.7,2.0,6.3,Public Transport,6.0,1.0
655,50.0,Lead,Finance,3,2.0,1.0,7.1,Public Transport,13.0,4.0
2473,37.0,Senior,HR,1,2.6,4.0,7.3,Public Transport,12.0,4.0
204,40.0,Lead,Operations,5,1.5,3.0,8.4,Bike,4.0,5.0
349,25.0,Junior,Finance,1,4.1,1.0,7.4,Public Transport,7.0,3.0
2809,32.0,Mid,IT,1,1.5,1.0,7.6,Car,11.0,5.0
2999,30.0,Mid,Operations,5,1.5,1.0,7.3,Car,26.0,4.0
2715,23.0,Intern/Fresher,IT,2,0.0,1.0,5.7,Car,22.0,3.0
184,60.0,Lead,Sales,5,1.7,3.0,8.5,Motorbike,12.0,5.0
665,34.0,Mid,IT,2,2.0,3.0,5.1,Car,25.0,4.0
2543,39.0,,,2,3.4,1.0,,,,4.0
2833,27.0,Junior,Sales,5,2.2,2.0,7.5,Walk,1.0,5.0
1482,23.0,,Finance,2,0.9,2.0,7.5,Car,16.0,4.0
2742,34.0,,,3,,1.0,,,,4.0
400,32.0,Senior,IT,5,0.7,1.0,8.6,Car,6.0,4.0
1084,43.0,Mid,Legal,1,0.4,3.0,6.7,Car,25.0,1.0
734,53.0,Lead,Finance,3,2.1,1.0,8.5,Motorbike,20.0,3.0
620,35.0,Mid,IT,5,3.1,2.0,7.5,Public Transport,9.0,4.0
1121,28.0,Senior,HR,2,0.6,1.0,5.7,Public Transport,29.0,2.0
701,32.0,,,2,,1.0,,,,3.0
2990,32.0,Senior,Marketing,1,2.9,1.0,8.2,Car,17.0,4.0
597,41.0,Mid,Operations,2,2.8,1.0,7.8,Car,29.0,4.0
777,37.0,Senior,Customer Service,5,1.3,1.0,7.8,Motorbike,20.0,3.0
850,39.0,Senior,IT,4,0.9,2.0,8.6,Car,11.0,3.0
1418,23.0,Junior,Operations,2,1.0,1.0,6.1,Car,9.0,2.0
711,45.0,Senior,Operations,5,2.3,4.0,7.3,Motorbike,15.0,3.0
1507,26.0,Junior,IT,1,2.5,1.0,8.4,Public Transport,17.0,4.0
1477,37.0,Senior,IT,4,2.4,1.0,9.0,Car,29.0,5.0
2400,47.0,Mid,Legal,4,2.4,1.0,7.0,Walk,1.0,4.0
788,35.0,Senior,Finance,3,1.0,2.0,5.9,Public Transport,14.0,3.0
1736,46.0,Senior,Operations,2,2.4,3.0,6.4,Public Transport,5.0,4.0
1415,43.0,Lead,IT,1,0.0,1.0,7.8,Car,7.0,1.0
2034,45.0,Lead,Finance,4,2.0,2.0,8.6,Public Transport,21.0,5.0
1384,22.0,Junior,Legal,3,1.2,1.0,9.2,Public Transport,27.0,2.0
37,38.0,Senior,Finance,2,2.0,1.0,6.5,Public Transport,29.0,4.0
307,28.0,Junior,Legal,2,1.3,1.0,8.4,Car,11.0,4.0
724,37.0,Mid,Operations,3,1.2,3.0,7.3,Car,24.0,3.0
1901,49.0,Senior,Legal,5,1.0,4.0,6.8,Car,17.0,1.0
1250,26.0,Junior,Finance,3,2.6,1.0,6.7,Car,26.0,1.0
2503,38.0,Senior,IT,3,3.3,1.0,7.0,Public Transport,15.0,4.0
656,25.0,Mid,Marketing,2,1.2,1.0,6.9,Public Transport,17.0,1.0
1373,23.0,Intern/Fresher,Operations,5,0.2,1.0,6.9,Public Transport,10.0,2.0
1014,47.0,Lead,Finance,1,0.9,4.0,6.4,Bike,2.0,1.0
693,38.0,Senior,Finance,1,2.8,2.0,7.1,Public Transport,11.0,3.0
1584,58.0,Lead,Marketing,4,3.0,1.0,6.3,Bike,5.0,4.0
2437,34.0,Senior,Sales,5,0.9,1.0,7.1,Bike,7.0,3.0
2869,59.0,Senior,Operations,2,1.8,1.0,7.5,Car,19.0,5.0
76,23.0,,,3,,1.0,,,,
941,41.0,Mid,Operations,5,1.6,1.0,7.0,Motorbike,12.0,5.0
1553,29.0,Junior,Finance,5,1.7,3.0,6.4,Car,20.0,5.0
268,29.0,Junior,Operations,2,0.0,1.0,7.0,Walk,1.0,4.0
1270,50.0,Lead,IT,5,1.1,1.0,8.7,Bike,3.0,5.0
1123,39.0,Mid,Finance,5,2.2,2.0,7.2,Public Transport,9.0,2.0
2120,43.0,Senior,IT,1,1.3,1.0,7.3,Motorbike,5.0,1.0
2180,35.0,,Operations,3,2.3,3.0,7.0,,1.0,1.0
1762,36.0,Senior,IT,3,1.6,1.0,7.3,Car,18.0,4.0
2845,54.0,Senior,Marketing,1,1.6,1.0,5.2,Bike,1.0,5.0
2965,33.0,Senior,Marketing,4,2.1,2.0,8.4,Public Transport,29.0,5.0
1196,47.0,Mid,Sales,4,2.3,1.0,7.0,Motorbike,20.0,2.0
3018,41.0,Mid,HR,4,2.0,2.0,7.3,Walk,2.0,5.0
659,22.0,Intern/Fresher,Operations,3,1.5,1.0,7.8,Walk,1.0,5.0
1850,48.0,Lead,Operations,1,1.2,3.0,7.6,Public Transport,29.0,4.0
2317,27.0,Mid,Finance,2,1.8,3.0,6.9,Bike,9.0,3.0
296,47.0,Senior,IT,1,0.8,1.0,7.3,Bike,9.0,4.0
2491,39.0,Senior,Finance,1,1.9,1.0,7.6,Car,11.0,3.0
2279,24.0,,Marketing,1,3.5,1.0,6.7,,15.0,3.0
1096,33.0,Mid,IT,4,0.0,1.0,6.2,Walk,1.0,1.0
1125,27.0,Junior,Finance,2,1.1,5.0,5.6,Car,9.0,1.0
309,38.0,Mid,Customer Service,3,2.0,2.0,6.0,Car,17.0,2.0
2979,27.0,Mid,IT,2,1.7,4.0,7.7,Bike,1.0,4.0
574,26.0,,Finance,1,0.6,4.0,6.7,Public Transport,11.0,3.0
326,23.0,Intern/Fresher,Operations,2,1.5,1.0,5.5,Car,28.0,2.0
2625,36.0,Mid,Operations,2,2.0,1.0,7.0,Bike,3.0,3.0
1060,24.0,Junior,Marketing,2,1.3,1.0,6.7,Walk,1.0,3.0
517,25.0,Junior,Finance,2,0.0,4.0,7.7,Public Transport,21.0,3.0
2361,38.0,Mid,Sales,3,0.3,3.0,7.5,Car,14.0,3.0
1538,36.0,Mid,IT,3,1.8,1.0,4.7,Public Transport,22.0,1.0
2706,28.0,,,5,2.5,1.0,7.3,,21.0,4.0
2870,38.0,,,5,3.2,2.0,5.5,,8.0,3.0
2244,38.0,Senior,IT,2,4.1,1.0,6.5,Car,21.0,3.0
532,33.0,Senior,Legal,5,1.1,1.0,6.7,Car,9.0,4.0
464,51.0,Senior,Operations,1,2.7,2.0,5.3,Public Transport,21.0,3.0
394,39.0,Senior,Marketing,1,3.0,1.0,6.2,Public Transport,7.0,4.0
1105,53.0,Lead,HR,5,1.9,1.0,8.6,Public Transport,9.0,5.0
4,31.0,Mid,Finance,5,1.5,2.0,7.0,Car,14.0,5.0
332,25.0,Junior,Sales,3,1.0,2.0,6.8,Public Transport,17.0,2.0
1228,30.0,Mid,IT,1,2.9,1.0,7.9,Walk,1.0,1.0
34,42.0,,,3,2.3,1.0,7.6,,,4.0
1745,34.0,,,4,3.1,2.0,6.1,,14.0,4.0
908,39.0,Senior,Sales,4,2.5,3.0,7.6,Car,15.0,3.0
2918,22.0,Junior,HR,2,3.9,1.0,6.6,Public Transport,8.0,5.0
842,33.0,Senior,Finance,2,2.8,5.0,8.5,Public Transport,15.0,3.0
996,23.0,Junior,IT,1,3.6,3.0,7.4,Public Transport,11.0,1.0
1562,35.0,Senior,Legal,2,1.2,4.0,6.6,Public Transport,24.0,1.0
2512,48.0,Mid,IT,2,3.0,1.0,6.7,Car,19.0,4.0
263,36.0,Senior,Legal,2,1.9,1.0,6.5,Car,10.0,4.0
1641,48.0,Lead,Marketing,2,2.9,2.0,6.4,Walk,2.0,4.0
20,29.0,Junior,IT,2,1.9,1.0,7.5,Public Transport,13.0,5.0
598,25.0,Junior,Finance,5,1.8,1.0,8.2,Bike,1.0,4.0
2171,26.0,Junior,Operations,2,1.0,1.0,8.8,Car,29.0,1.0
1591,33.0,Senior,IT,4,2.0,1.0,7.9,Bike,8.0,1.0
168,26.0,Mid,IT,4,1.0,1.0,4.7,Public Transport,8.0,5.0
